dimension,value,papers,papers_present,paper_prevalence,conference_equal_paper_prevalence,object_count,object_share,paper_normalized_object_share,conference_equal_paper_normalized_share
module,Appendix A,250,1,0.004,0.005,1,0.000185,0.000286,0.000357
module,Appendix A / mutually-exciting examples,250,1,0.004,0.003333,1,0.000185,0.000364,0.000303
module,Appendix A / refractory examples,250,1,0.004,0.003333,1,0.000185,0.000364,0.000303
module,Appendix A.1 Model Parameter Settings,250,1,0.004,0.005,1,0.000185,0.000364,0.000455
module,Appendix A.1 rendered markers,250,1,0.004,0.003333,1,0.000185,0.00025,0.000208
module,Appendix A.2 DepthLMBench statistics,250,1,0.004,0.003333,1,0.000185,0.00025,0.000208
module,Appendix A.3 Architectures and Hyperparameters,250,1,0.004,0.005,1,0.000185,0.0004,0.0005
module,Appendix A.3 cross-dataset SFT versus GRPO,250,1,0.004,0.003333,1,0.000185,0.00025,0.000208
module,Appendix A.4/A.6 training and GRPO hyper-parameters,250,1,0.004,0.003333,1,0.000185,0.00025,0.000208
module,Appendix A.7 multi-task performance by dataset,250,1,0.004,0.003333,1,0.000185,0.00025,0.000208
module,Appendix A/B — extended benchmark results,250,1,0.004,0.005,1,0.000185,0.000364,0.000455
module,Appendix B / Result 4 finite-size check,250,1,0.004,0.003333,1,0.000185,0.0005,0.000417
module,Appendix B / Result 4 noiseless phase diagram,250,1,0.004,0.003333,1,0.000185,0.0005,0.000417
module,Appendix B comparison to existing verification systems,250,1,0.004,0.003333,1,0.000185,0.000308,0.000256
module,Appendix B.1,250,1,0.004,0.005,1,0.000185,0.000105,0.000132
module,Appendix B.1 Interatomic Distance and Energy Histograms,250,1,0.004,0.005,1,0.000185,0.0004,0.0005
module,Appendix B.1 Residual Vector Quantization and Delay Pattern,250,1,0.004,0.003333,1,0.000185,0.000267,0.000222
module,Appendix B.10,250,1,0.004,0.005,1,0.000185,0.000105,0.000132
module,Appendix B.2,250,1,0.004,0.005,1,0.000185,0.000105,0.000132
module,Appendix B.3,250,1,0.004,0.005,1,0.000185,0.000105,0.000132
module,Appendix B.3.2; Lemma 12,250,1,0.004,0.003333,1,0.000185,0.000308,0.000256
module,Appendix B.4,250,1,0.004,0.005,1,0.000185,0.000105,0.000132
module,Appendix B.4 Numerical illustration,250,1,0.004,0.005,1,0.000185,0.0008,0.001
module,Appendix B.5,250,1,0.004,0.005,2,0.00037,0.000211,0.000263
module,Appendix B.6,250,1,0.004,0.005,1,0.000185,0.000105,0.000132
module,Appendix B.7,250,1,0.004,0.005,1,0.000185,0.000105,0.000132
module,Appendix B.8,250,1,0.004,0.005,1,0.000185,0.000105,0.000132
module,Appendix B.9,250,1,0.004,0.005,1,0.000185,0.000105,0.000132
module,Appendix B/C.2 Hyperparameters and Architecture Details,250,1,0.004,0.005,1,0.000185,0.0004,0.0005
module,Appendix C / LLM backbone ablation,250,1,0.004,0.005,1,0.000185,0.000167,0.000208
module,Appendix C / LoRA hyperparameter ablation,250,1,0.004,0.005,1,0.000185,0.000167,0.000208
module,Appendix C / MDA dual-path ablation,250,1,0.004,0.005,1,0.000185,0.000167,0.000208
module,Appendix C / computational cost,250,1,0.004,0.005,1,0.000185,0.000167,0.000208
module,Appendix C / evaluation details,250,1,0.004,0.003333,1,0.000185,0.000211,0.000175
module,Appendix C / fusion-token count ablation,250,1,0.004,0.005,1,0.000185,0.000167,0.000208
module,Appendix C / pretraining recipe,250,1,0.004,0.003333,1,0.000185,0.000182,0.000152
module,Appendix C / prompt design ablation,250,1,0.004,0.005,1,0.000185,0.000167,0.000208
module,Appendix C / six-seed error-bar analysis,250,1,0.004,0.005,1,0.000185,0.000167,0.000208
module,Appendix C overview,250,1,0.004,0.005,1,0.000185,0.000105,0.000132
module,Appendix C reparameterization,250,1,0.004,0.003333,1,0.000185,0.000308,0.000256
module,Appendix C — Modality-Rich Training Dataset,250,1,0.004,0.005,1,0.000185,0.000364,0.000455
module,Appendix C.1,250,1,0.004,0.005,3,0.000556,0.000316,0.000395
module,Appendix C.1 / full in-distribution pass@k,250,1,0.004,0.005,3,0.000556,0.000632,0.000789
module,Appendix C.1 Training and inference hyper-parameters,250,1,0.004,0.003333,3,0.000556,0.0008,0.000667
module,Appendix C.1; summary of path ranks and edge ranks,250,1,0.004,0.003333,1,0.000185,0.000308,0.000256
module,Appendix C.2,250,1,0.004,0.005,1,0.000185,0.000105,0.000132
module,Appendix C.2 / OOD generalization,250,1,0.004,0.005,3,0.000556,0.000632,0.000789
module,Appendix C.2 Audio generation: ablation study,250,1,0.004,0.003333,1,0.000185,0.000267,0.000222
module,Appendix C.2.1 / LASSO risk crossovers and λopt,250,1,0.004,0.003333,1,0.000185,0.0005,0.000417
module,Appendix C.2.1 / LASSO spectra phases IV–VIb,250,1,0.004,0.003333,1,0.000185,0.0005,0.000417
module,Appendix C.2.1 / LASSO spectra phases Ib–III,250,1,0.004,0.003333,1,0.000185,0.0005,0.000417
module,Appendix C.2; another equivalence-class example,250,1,0.004,0.003333,1,0.000185,0.000308,0.000256
module,Appendix C.3,250,1,0.004,0.005,1,0.000185,0.000105,0.000132
module,Appendix C.3; CP(G) presentation,250,1,0.004,0.003333,1,0.000185,0.000308,0.000256
module,Appendix C.4 Numerical Illustration,250,1,0.004,0.005,1,0.000185,0.0008,0.001
module,Appendix C.5; related-work equivalence characterization overview,250,1,0.004,0.003333,1,0.000185,0.000308,0.000256
module,Appendix D,250,2,0.008,0.008333,8,0.001481,0.000927,0.00108
module,Appendix D / FS1000 attention expansion,250,1,0.004,0.005,1,0.000185,0.000167,0.000208
module,Appendix D / FS1000 representation alignment,250,1,0.004,0.005,1,0.000185,0.000167,0.000208
module,Appendix D / Fis-V attention,250,1,0.004,0.005,1,0.000185,0.000167,0.000208
module,Appendix D / Fis-V representation alignment,250,1,0.004,0.005,1,0.000185,0.000167,0.000208
module,Appendix D / RG attention,250,1,0.004,0.005,1,0.000185,0.000167,0.000208
module,Appendix D / RG representation alignment,250,1,0.004,0.005,1,0.000185,0.000167,0.000208
module,Appendix D / latent-to-target similarity,250,1,0.004,0.005,1,0.000185,0.000167,0.000208
module,Appendix D / prediction fidelity,250,1,0.004,0.005,1,0.000185,0.000167,0.000208
module,Appendix D exact alignment bound in plateau discussion,250,1,0.004,0.003333,1,0.000185,0.000308,0.000256
module,Appendix D.1; exhaustive graph and equivalence-class enumeration,250,1,0.004,0.003333,1,0.000185,0.000308,0.000256
module,Appendix D.2 / further quantitative evaluation,250,1,0.004,0.003333,2,0.00037,0.000421,0.000351
module,Appendix D.2 Logical Reasoning Task,250,1,0.004,0.003333,1,0.000185,0.000333,0.000278
module,Appendix D.2 Pathwise ESD for Learned Kernels,250,1,0.004,0.005,1,0.000185,0.0008,0.001
module,Appendix D.2; glvLiNG runtime assessment,250,1,0.004,0.003333,1,0.000185,0.000308,0.000256
module,Appendix D.3 / predictor size,250,1,0.004,0.005,1,0.000185,0.000211,0.000263
module,Appendix D.3; oracle-input baseline benchmark,250,1,0.004,0.003333,1,0.000185,0.000308,0.000256
module,Appendix D.4 Tower of Hanoi Experiment Details,250,1,0.004,0.003333,2,0.00037,0.000667,0.000556
module,Appendix D.4; finite-sample simulation results,250,1,0.004,0.003333,1,0.000185,0.000308,0.000256
module,Appendix D.5 SSMs and Transformer Baselines,250,1,0.004,0.003333,1,0.000185,0.000333,0.000278
module,Appendix D.5; Hong Kong stock-market dataset,250,1,0.004,0.003333,1,0.000185,0.000308,0.000256
module,Appendix D.6 Ablating Training Steps and Digit Length for Multiplication,250,1,0.004,0.003333,1,0.000185,0.000333,0.000278
module,Appendix D.8 Task Mixture,250,1,0.004,0.003333,2,0.00037,0.000667,0.000556
module,Appendix E,250,1,0.004,0.003333,1,0.000185,0.00019,0.000159
module,Appendix E / 2B fixed-C sweep,250,1,0.004,0.003333,1,0.000185,0.000182,0.000152
module,Appendix E / 2B fixed-r_a sweep,250,1,0.004,0.003333,1,0.000185,0.000182,0.000152
module,Appendix E / 3B data reuse D-hat=114B,250,1,0.004,0.003333,1,0.000185,0.000182,0.000152
module,Appendix E / 3B reuse extension,250,1,0.004,0.003333,1,0.000185,0.000182,0.000152
module,Appendix E / 3B strict reuse D-hat=65B,250,1,0.004,0.003333,1,0.000185,0.000182,0.000152
module,Appendix E / 6.52B fixed-C sweep,250,1,0.004,0.003333,1,0.000185,0.000182,0.000152
module,Appendix E / 6.52B fixed-D sweep,250,1,0.004,0.003333,1,0.000185,0.000182,0.000152
module,Appendix E / 7B data reuse D-hat=68B,250,1,0.004,0.003333,1,0.000185,0.000182,0.000152
module,Appendix E / 7B loose reuse,250,1,0.004,0.003333,1,0.000185,0.000182,0.000152
module,Appendix E / PLF ablation,250,1,0.004,0.003333,2,0.00037,0.000421,0.000351
module,Appendix E / additional qualitative results,250,1,0.004,0.003333,1,0.000185,0.000211,0.000175
module,Appendix E / binary Bayesian / conditional CDF,250,1,0.004,0.005,2,0.00037,0.0008,0.001
module,Appendix E / binary Bayesian revenue,250,1,0.004,0.005,1,0.000185,0.0004,0.0005
module,Appendix E / caption-callout mismatch,250,1,0.004,0.003333,1,0.000185,0.000211,0.000175
module,Appendix E / common training recipe,250,1,0.004,0.003333,1,0.000185,0.000182,0.000152
module,Appendix E / dense baselines,250,1,0.004,0.003333,1,0.000185,0.000182,0.000152
module,Appendix E / gate-score normalization,250,1,0.004,0.003333,1,0.000185,0.000182,0.000152
module,Appendix E / layer arrangement and shared expert,250,1,0.004,0.003333,1,0.000185,0.000182,0.000152
module,Appendix E / model shape ratios,250,1,0.004,0.003333,1,0.000185,0.000182,0.000152
module,Appendix E / qualitative float on p.32,250,1,0.004,0.003333,1,0.000185,0.000211,0.000175
module,Appendix E / reflection ablation,250,1,0.004,0.003333,1,0.000185,0.000211,0.000175
module,Appendix E / shape-ratio analysis,250,1,0.004,0.003333,1,0.000185,0.000182,0.000152
module,Appendix E / three-value Bayesian / conditional CDF,250,1,0.004,0.005,3,0.000556,0.0012,0.0015
module,Appendix E / three-value Bayesian / revenue,250,1,0.004,0.005,1,0.000185,0.0004,0.0005
module,Appendix E / top-K setting,250,1,0.004,0.003333,1,0.000185,0.000182,0.000152
module,Appendix E Code Fixing Agent Setup,250,1,0.004,0.003333,1,0.000185,0.000333,0.000278
module,Appendix E layer norm geometry,250,1,0.004,0.003333,1,0.000185,0.000308,0.000256
module,Appendix E layer norm recovery,250,1,0.004,0.003333,1,0.000185,0.000308,0.000256
module,Appendix E.2 Recursive Decomposition Experiments,250,1,0.004,0.005,1,0.000185,0.000364,0.000455
module,Appendix E.2 alignment/uniformity batch-size view,250,1,0.004,0.003333,1,0.000185,0.000308,0.000256
module,Appendix E.2 alignment/uniformity dimensionality view,250,1,0.004,0.003333,1,0.000185,0.000308,0.000256
module,Appendix E.2 encoder pushforward,250,1,0.004,0.003333,1,0.000185,0.000308,0.000256
module,Appendix E.2 thin-shell concentration,250,1,0.004,0.003333,1,0.000185,0.000308,0.000256
module,Appendix E.2 whitening/uniformity: normalized,250,1,0.004,0.003333,1,0.000185,0.000308,0.000256
module,Appendix E.2 whitening/uniformity: unnormalized,250,1,0.004,0.003333,1,0.000185,0.000308,0.000256
module,Appendix E.3 Pretraining Results,250,1,0.004,0.005,1,0.000185,0.000364,0.000455
module,Appendix E.3 Pretraining Results; ABC Grammar CKA duration sensitivity,250,1,0.004,0.005,1,0.000185,0.000364,0.000455
module,Appendix E.3 Pretraining Results; cosine-similarity analysis,250,1,0.004,0.005,1,0.000185,0.000364,0.000455
module,Appendix E.4 Generalization and Prefix Experiments,250,1,0.004,0.005,1,0.000185,0.000364,0.000455
module,Appendix F,250,1,0.004,0.003333,3,0.000556,0.000571,0.000476
module,Appendix F / FS1000 type-level detailed results,250,1,0.004,0.005,1,0.000185,0.000167,0.000208
module,Appendix F / Fis-V type-level detailed results,250,1,0.004,0.005,1,0.000185,0.000167,0.000208
module,Appendix F / RG type-level detailed results,250,1,0.004,0.005,1,0.000185,0.000167,0.000208
module,Appendix F / qualitative comparisons / sample 1 / VGS,250,1,0.004,0.005,1,0.000185,0.000174,0.000217
module,Appendix F / qualitative comparisons / sample 1 / standard,250,1,0.004,0.005,1,0.000185,0.000174,0.000217
module,Appendix F / qualitative comparisons / sample 2 / VGS,250,1,0.004,0.005,1,0.000185,0.000174,0.000217
module,Appendix F / qualitative comparisons / sample 2 / standard,250,1,0.004,0.005,1,0.000185,0.000174,0.000217
module,Appendix F / qualitative comparisons / sample 3 / VGS,250,1,0.004,0.005,1,0.000185,0.000174,0.000217
module,Appendix F / qualitative comparisons / sample 3 / standard,250,1,0.004,0.005,1,0.000185,0.000174,0.000217
module,Appendix F / qualitative comparisons / sample 4 / VGS,250,1,0.004,0.005,1,0.000185,0.000174,0.000217
module,Appendix F / qualitative comparisons / sample 4 / standard,250,1,0.004,0.005,1,0.000185,0.000174,0.000217
module,Appendix F — Examples,250,1,0.004,0.005,1,0.000185,0.000364,0.000455
module,Appendix F.2,250,1,0.004,0.005,1,0.000185,0.000286,0.000357
module,Appendix F.4,250,1,0.004,0.005,1,0.000185,0.000211,0.000263
module,Appendix G,250,1,0.004,0.003333,3,0.000556,0.000571,0.000476
module,Appendix G smoothing severity,250,1,0.004,0.003333,1,0.000185,0.000308,0.000256
module,Appendix G.1,250,1,0.004,0.005,1,0.000185,0.000286,0.000357
module,Appendix G.1.1,250,1,0.004,0.005,2,0.00037,0.000421,0.000526
module,Appendix G.1.2,250,1,0.004,0.005,2,0.00037,0.000421,0.000526
module,Appendix G.2,250,1,0.004,0.005,1,0.000185,0.000211,0.000263
module,Appendix G.3,250,2,0.008,0.01,3,0.000556,0.000782,0.000977
module,Appendix G.4,250,2,0.008,0.01,3,0.000556,0.000707,0.000883
module,Appendix H,250,4,0.016,0.018333,6,0.001111,0.001363,0.001625
module,Appendix H / limitations,250,1,0.004,0.003333,1,0.000185,0.000211,0.000175
module,Appendix H.1,250,1,0.004,0.005,1,0.000185,0.000211,0.000263
module,Appendix H.1 / larger-data scaling,250,1,0.004,0.003333,1,0.000185,0.000364,0.000303
module,Appendix H.2 / dimensionality scaling,250,1,0.004,0.003333,2,0.00037,0.000727,0.000606
module,Appendix H.2 / larger-dimensionality comparison,250,1,0.004,0.003333,1,0.000185,0.000364,0.000303
module,Appendix H.4 / accuracy–prediction relation,250,1,0.004,0.003333,1,0.000185,0.000364,0.000303
module,Appendix I,250,1,0.004,0.003333,1,0.000185,0.00019,0.000159
module,Appendix I.1,250,1,0.004,0.005,2,0.00037,0.000421,0.000526
module,Appendix J,250,1,0.004,0.005,4,0.000741,0.000421,0.000526
module,Appendix visual material / texture synthesis,250,1,0.004,0.003333,1,0.000185,0.000154,0.000128
module,B.1 Prompt for LLM Filtration,250,1,0.004,0.005,1,0.000185,0.000129,0.000161
module,B.2 Prompt for MLLM Filtration,250,1,0.004,0.005,1,0.000185,0.000129,0.000161
module,B.3 Prompt for Human Filtration,250,1,0.004,0.005,1,0.000185,0.000129,0.000161
module,B.4 Manual Annotation Guideline,250,1,0.004,0.005,1,0.000185,0.000129,0.000161
module,C.1 Prompt for Evaluation,250,1,0.004,0.005,1,0.000185,0.000129,0.000161
module,C.2 Prompt for LLM Judge,250,1,0.004,0.005,1,0.000185,0.000129,0.000161
module,Conservatism constitution,250,1,0.004,0.003333,1,0.000185,0.000143,0.000119
module,D.2 Prompt for Extracting Metaphorical Concept Pairs,250,1,0.004,0.005,1,0.000185,0.000129,0.000161
module,Deep Ecology constitution,250,1,0.004,0.003333,1,0.000185,0.000143,0.000119
module,E.1 Prompt for Identifying Visual Elements,250,1,0.004,0.005,1,0.000185,0.000129,0.000161
module,E.2 Prompt for Generating Video Metaphor Interpretation,250,1,0.004,0.005,1,0.000185,0.000129,0.000161
module,Experimental design / Results 1 finite-size check,250,1,0.004,0.003333,1,0.000185,0.0005,0.000417
module,GPQA validation detail,250,1,0.004,0.003333,1,0.000185,0.000143,0.000119
module,Introduction,250,1,0.004,0.003333,1,0.000185,0.000308,0.000256
module,Introduction / Riemannian preview,250,1,0.004,0.005,1,0.000185,0.0004,0.0005
module,Introduction / denoising and two generative tasks,250,1,0.004,0.003333,1,0.000185,0.000154,0.000128
module,Introduction / motivation,250,1,0.004,0.003333,1,0.000185,0.000267,0.000222
module,Introduction / problem positioning,250,1,0.004,0.005,1,0.000185,0.000167,0.000208
module,Introduction / single geometry distribution,250,1,0.004,0.003333,1,0.000185,0.000154,0.000128
module,LLM routing regret,250,1,0.004,0.003333,1,0.000185,0.000333,0.000278
module,Loving constitution,250,1,0.004,0.003333,1,0.000185,0.000143,0.000119
module,M1 connectivity matrices,250,1,0.004,0.005,1,0.000185,0.000364,0.000455
module,Main ablation / component study,250,1,0.004,0.005,1,0.000185,0.000167,0.000208
module,Main ablation / fusion-token attention,250,1,0.004,0.005,1,0.000185,0.000167,0.000208
module,Main results / complete-modality comparison,250,1,0.004,0.005,1,0.000185,0.000167,0.000208
module,Main results / incomplete-modality comparison,250,1,0.004,0.005,1,0.000185,0.000167,0.000208
module,Method / overall LIMSSR framework,250,1,0.004,0.005,1,0.000185,0.000167,0.000208
module,Method 4.2 / aggregated training pairs,250,1,0.004,0.003333,1,0.000185,0.000154,0.000128
module,Method 4.3–4.4 / conditional encoding and generation,250,1,0.004,0.003333,1,0.000185,0.000154,0.000128
module,Related Work / representation comparison,250,1,0.004,0.003333,1,0.000185,0.000154,0.000128
module,Results 2.1–2.3 / theory phase diagram,250,1,0.004,0.003333,1,0.000185,0.0005,0.000417
module,Results 2.2–2.3 / quadratic learned spectra,250,1,0.004,0.003333,1,0.000185,0.0005,0.000417
module,Results 5.2 / Chamfer formulations,250,1,0.004,0.003333,1,0.000185,0.000154,0.000128
module,Results 5.2 / formulation comparison,250,1,0.004,0.003333,1,0.000185,0.000154,0.000128
module,Results 5.3 / FID raw and enhanced rendering,250,1,0.004,0.003333,1,0.000185,0.000154,0.000128
module,Results 5.3 / raw versus enhanced rendering,250,1,0.004,0.003333,1,0.000185,0.000154,0.000128
module,Results 5.4 / novel pose generation,250,1,0.004,0.003333,1,0.000185,0.000154,0.000128
module,Results 5.4 / user study,250,1,0.004,0.003333,1,0.000185,0.000154,0.000128
module,Sec. 3.1 prompt design,250,1,0.004,0.003333,1,0.000185,0.00025,0.000208
module,Sec. 3.2 loss,250,1,0.004,0.003333,1,0.000185,0.00025,0.000208
module,Sec. 3.3 image diversity versus label density,250,1,0.004,0.003333,1,0.000185,0.00025,0.000208
module,Sec. 3.3 mix-data training,250,1,0.004,0.003333,1,0.000185,0.00025,0.000208
module,Sec. 3.4 final method,250,1,0.004,0.003333,1,0.000185,0.00025,0.000208
module,Sec. 4 VLM result,250,1,0.004,0.003333,1,0.000185,0.00025,0.000208
module,Sec. 4 comparison with pure vision models,250,1,0.004,0.003333,1,0.000185,0.00025,0.000208
module,Sec. 4 multi-task qualitative results,250,1,0.004,0.003333,1,0.000185,0.00025,0.000208
module,Sec. 4 multi-task result,250,1,0.004,0.003333,1,0.000185,0.00025,0.000208
module,Sec. 4 qualitative visualization,250,1,0.004,0.003333,1,0.000185,0.00025,0.000208
module,Section 2 / depth decomposition,250,1,0.004,0.005,1,0.000185,0.000211,0.000263
module,Section 2 / depth–accuracy relation,250,1,0.004,0.005,1,0.000185,0.000211,0.000263
module,Section 2 / execution-depth budget,250,1,0.004,0.005,1,0.000185,0.000211,0.000263
module,Section 2 / recurrence and operator demand,250,1,0.004,0.005,1,0.000185,0.000211,0.000263
module,Section 2 / structural bias,250,1,0.004,0.005,1,0.000185,0.000211,0.000263
module,Section 4.2 / pass@k and unique depth,250,1,0.004,0.005,1,0.000185,0.000211,0.000263
module,Universal Kindness constitution,250,1,0.004,0.003333,1,0.000185,0.000143,0.000119
module,ablation,250,150,0.6,0.593333,531,0.098333,0.083289,0.084606
module,ablation / Muon approximation,250,1,0.004,0.003333,1,0.000185,0.000222,0.000185
module,ablation / Section 6.2 Top-W Ablations and Behavior,250,1,0.004,0.005,1,0.000185,0.000364,0.000455
module,ablation / efficiency analysis,250,1,0.004,0.003333,1,0.000185,0.000333,0.000278
module,ablation / multi-step tasks,250,1,0.004,0.003333,1,0.000185,0.000174,0.000145
module,ablation / popular choices,250,1,0.004,0.003333,1,0.000185,0.000174,0.000145
module,ablation / resolution × appearance,250,1,0.004,0.003333,1,0.000185,0.000174,0.000145
module,"ablation / state, chunk, and objective choices",250,1,0.004,0.003333,1,0.000185,0.000333,0.000278
module,ablation / tool-use mechanism,250,1,0.004,0.005,1,0.000185,0.000154,0.000192
module,ablation / variation interactions,250,1,0.004,0.003333,1,0.000185,0.000174,0.000145
module,ablation / §4.3,250,1,0.004,0.003333,4,0.000741,0.001231,0.001026
module,ablation / §4.4,250,1,0.004,0.005,2,0.00037,0.0005,0.000625
module,ablation / §5.1,250,1,0.004,0.003333,2,0.00037,0.0004,0.000333
module,ablation / §5.2 Dynamic selective speculation,250,1,0.004,0.003333,1,0.000185,0.000333,0.000278
module,ablation / §5.3,250,1,0.004,0.003333,1,0.000185,0.000308,0.000256
module,ablation / §5.5 metric learning,250,1,0.004,0.003333,1,0.000185,0.0002,0.000167
module,ablation B.1 blending,250,1,0.004,0.003333,1,0.000185,0.00016,0.000133
module,ablation B.1 blending examples,250,1,0.004,0.003333,1,0.000185,0.00016,0.000133
module,ablation B.1 conditional generation,250,1,0.004,0.003333,1,0.000185,0.00016,0.000133
module,ablation B.1 conditional-generation examples,250,1,0.004,0.003333,1,0.000185,0.00016,0.000133
module,ablation B.1 correlation masking,250,1,0.004,0.003333,2,0.00037,0.00032,0.000267
module,ablation/5.5,250,1,0.004,0.003333,1,0.000185,0.0004,0.000333
module,ablation/mitigation,250,1,0.004,0.003333,1,0.000185,0.000308,0.000256
module,abstract,250,24,0.096,0.093333,24,0.004444,0.004417,0.004323
module,abstract / system overview,250,1,0.004,0.003333,1,0.000185,0.000174,0.000145
module,all latent dynamics,250,1,0.004,0.005,1,0.000185,0.000364,0.000455
module,appendix,250,118,0.472,0.466667,1563,0.289444,0.239054,0.234134
module,appendix / A. Notation,250,1,0.004,0.005,2,0.00037,0.0005,0.000625
module,appendix / A.1,250,1,0.004,0.005,1,0.000185,0.00025,0.000313
module,appendix / A.2,250,2,0.008,0.008333,2,0.00037,0.000558,0.000569
module,appendix / A.3,250,1,0.004,0.005,2,0.00037,0.0005,0.000625
module,appendix / A.4,250,1,0.004,0.003333,2,0.00037,0.000615,0.000513
module,appendix / Algebraic / V-BITWEEN backend detail,250,1,0.004,0.005,1,0.000185,0.000154,0.000192
module,appendix / Algebraic / neural model detail,250,1,0.004,0.005,3,0.000556,0.000462,0.000577
module,appendix / Appendix C,250,1,0.004,0.003333,8,0.001481,0.0016,0.001333
module,appendix / Appendix K–M.2,250,1,0.004,0.005,1,0.000185,0.000364,0.000455
module,appendix / Appendix M.2 Results,250,1,0.004,0.005,4,0.000741,0.001455,0.001818
module,appendix / B Implementation Details,250,1,0.004,0.003333,1,0.000185,0.000308,0.000256
module,appendix / B.1,250,1,0.004,0.005,1,0.000185,0.00025,0.000313
module,appendix / B.3,250,1,0.004,0.005,1,0.000185,0.00025,0.000313
module,appendix / B.3.3 Speculative Reaction Time Benefits,250,1,0.004,0.003333,1,0.000185,0.000333,0.000278
module,appendix / C.1,250,1,0.004,0.005,1,0.000185,0.00025,0.000313
module,appendix / C.2.1 E-commerce,250,1,0.004,0.003333,1,0.000185,0.000333,0.000278
module,appendix / C.2.2 OS hyperparameter tuning,250,1,0.004,0.003333,2,0.00037,0.000667,0.000556
module,appendix / C.2.2 OS hyperparameter tuning (malformed label),250,1,0.004,0.003333,1,0.000185,0.000333,0.000278
module,appendix / C.3,250,1,0.004,0.005,4,0.000741,0.001455,0.001818
module,appendix / D.1,250,2,0.008,0.008333,3,0.000556,0.000694,0.000683
module,appendix / D.2,250,2,0.008,0.008333,2,0.00037,0.000472,0.000498
module,appendix / D.3,250,1,0.004,0.003333,1,0.000185,0.000222,0.000185
module,appendix / D.4,250,1,0.004,0.003333,2,0.00037,0.000444,0.00037
module,appendix / D.5,250,1,0.004,0.003333,4,0.000741,0.000889,0.000741
module,appendix / D.6,250,1,0.004,0.003333,1,0.000185,0.000222,0.000185
module,appendix / F,250,1,0.004,0.003333,1,0.000185,0.000222,0.000185
module,appendix / F.2,250,1,0.004,0.005,1,0.000185,0.00025,0.000313
module,appendix / G.1,250,1,0.004,0.005,2,0.00037,0.0005,0.000625
module,appendix / H.1,250,1,0.004,0.005,1,0.000185,0.00025,0.000313
module,appendix / RSR-Bench / V-BITWEEN backend detail,250,1,0.004,0.005,2,0.00037,0.000308,0.000385
module,appendix / RSR-Bench / neural model detail,250,1,0.004,0.005,6,0.001111,0.000923,0.001154
