analysis_view,conference,analysis_stratum,dimension,value,papers,papers_present,paper_prevalence,design_weighted_prevalence,mean_count_per_paper,median_count_per_paper,status
foundation_200,ICLR,all,limitation_type,compute,15,1,0.066666667,0.072031149,0.066666667,0.0,interim
foundation_200,ICLR,all,limitation_type,data,15,2,0.133333333,0.144062297,0.2,0.0,interim
foundation_200,ICLR,all,limitation_type,deployment,15,1,0.066666667,0.072031149,0.066666667,0.0,interim
foundation_200,ICLR,all,limitation_type,generality,15,2,0.133333333,0.144062297,0.133333333,0.0,interim
foundation_200,ICLR,all,limitation_type,metric,15,2,0.133333333,0.144062297,0.133333333,0.0,interim
foundation_200,ICLR,all,limitation_type,scope,15,1,0.066666667,0.072031149,0.133333333,0.0,interim
foundation_200,ICLR,all,limitation_type,unspecified,15,13,0.866666667,0.855937703,6.733333333,7.0,interim
foundation_200,ICLR,all,statistical_field_reported,aggregation_units,15,1,0.066666667,0.072031149,0.066666667,0.0,interim
foundation_200,ICLR,all,statistical_field_reported,bayesian,15,0,0.0,0.0,0.0,0.0,interim
foundation_200,ICLR,all,statistical_field_reported,bootstrap,15,0,0.0,0.0,0.0,0.0,interim
foundation_200,ICLR,all,statistical_field_reported,central_tendency,15,1,0.066666667,0.072031149,0.066666667,0.0,interim
foundation_200,ICLR,all,statistical_field_reported,correlation,15,0,0.0,0.0,0.0,0.0,interim
foundation_200,ICLR,all,statistical_field_reported,dispersion,15,0,0.0,0.0,0.0,0.0,interim
foundation_200,ICLR,all,statistical_field_reported,hypothesis_tests,15,0,0.0,0.0,0.0,0.0,interim
foundation_200,ICLR,all,statistical_field_reported,intervals,15,0,0.0,0.0,0.0,0.0,interim
foundation_200,ICLR,all,statistical_field_reported,multiple_comparisons,15,0,0.0,0.0,0.0,0.0,interim
foundation_200,ICLR,all,statistical_field_reported,regression,15,0,0.0,0.0,0.0,0.0,interim
foundation_200,ICLR,all,statistical_field_reported,seed_hierarchy,15,1,0.066666667,0.072031149,0.066666667,0.0,interim
foundation_200,ICLR,all,statistical_field_reported,significance_language,15,1,0.066666667,0.072031149,0.066666667,0.0,interim
foundation_200,ICLR,all,statistical_field_reported,substantive_vs_statistical,15,1,0.066666667,0.072031149,0.066666667,0.0,interim
foundation_200,ICLR,all,statistical_field_reported,uncertainty_reported,15,1,0.066666667,0.072031149,0.066666667,0.0,interim
foundation_200,ICLR,all,theory_kind,corollary,15,1,0.066666667,0.031797534,0.2,0.0,interim
foundation_200,ICLR,all,theory_kind,displayed_equation,15,6,0.4,0.391953277,1.533333333,0.0,interim
foundation_200,ICLR,all,theory_kind,lemma,15,1,0.066666667,0.031797534,0.133333333,0.0,interim
foundation_200,ICLR,all,theory_kind,numbered_equation,15,11,0.733333333,0.75210902,4.333333333,4.0,interim
foundation_200,ICLR,all,theory_kind,proof,15,2,0.133333333,0.103828683,0.533333333,0.0,interim
foundation_200,ICLR,all,theory_kind,proposition,15,1,0.066666667,0.031797534,0.466666667,0.0,interim
foundation_200,ICLR,all,theory_kind,theorem,15,1,0.066666667,0.031797534,0.266666667,0.0,interim
foundation_200,ICLR,all,theory_role,core_chain,15,13,0.866666667,0.855937703,5.533333333,4.0,interim
foundation_200,ICLR,all,theory_role,diagnostic,15,3,0.2,0.135626217,0.333333333,0.0,interim
foundation_200,ICLR,all,theory_role,explanation,15,7,0.466666667,0.423750811,1.133333333,0.0,interim
foundation_200,ICLR,all,theory_role,guarantee,15,2,0.133333333,0.103828683,0.466666667,0.0,interim
foundation_200,ICLR,all,visual_kind,algorithm,15,1,0.066666667,0.072031149,0.066666667,0.0,interim
foundation_200,ICLR,all,visual_kind,figure,15,14,0.933333333,0.968202466,8.266666667,7.0,interim
foundation_200,ICLR,all,visual_kind,table,15,14,0.933333333,0.968202466,8.333333333,9.0,interim
foundation_200,ICLR,all,visual_module,ablation,15,13,0.866666667,0.936404932,1.8,1.0,interim
foundation_200,ICLR,all,visual_module,abstract,15,1,0.066666667,0.031797534,0.066666667,0.0,interim
foundation_200,ICLR,all,visual_module,appendix,15,12,0.8,0.824140169,7.333333333,5.0,interim
foundation_200,ICLR,all,visual_module,experimental_design,15,5,0.333333333,0.319922128,0.8,0.0,interim
foundation_200,ICLR,all,visual_module,introduction,15,7,0.466666667,0.50421804,0.6,0.0,interim
foundation_200,ICLR,all,visual_module,limitations,15,1,0.066666667,0.072031149,0.2,0.0,interim
foundation_200,ICLR,all,visual_module,method,15,14,0.933333333,0.968202466,1.533333333,2.0,interim
foundation_200,ICLR,all,visual_module,other,15,1,0.066666667,0.072031149,0.066666667,0.0,interim
foundation_200,ICLR,all,visual_module,related_work,15,3,0.2,0.216093446,0.2,0.0,interim
foundation_200,ICLR,all,visual_module,results,15,14,0.933333333,0.968202466,3.866666667,4.0,interim
foundation_200,ICLR,all,visual_module,theory,15,2,0.133333333,0.144062297,0.2,0.0,interim
foundation_200,ICLR,oral,abstract_function,core_idea,13,13,1.0,1.0,1.0,1.0,interim
foundation_200,ICLR,oral,abstract_function,experimental_setup,13,11,0.846153846,0.846153846,0.846153846,1.0,interim
foundation_200,ICLR,oral,abstract_function,impact_claim,13,13,1.0,1.0,1.0,1.0,interim
foundation_200,ICLR,oral,abstract_function,limitation,13,2,0.153846154,0.153846154,0.153846154,0.0,interim
foundation_200,ICLR,oral,abstract_function,method,13,13,1.0,1.0,1.0,1.0,interim
foundation_200,ICLR,oral,abstract_function,object_scope,13,13,1.0,1.0,1.0,1.0,interim
foundation_200,ICLR,oral,abstract_function,problem_gap,13,13,1.0,1.0,1.0,1.0,interim
foundation_200,ICLR,oral,abstract_function,qualitative_result,13,12,0.923076923,0.923076923,0.923076923,1.0,interim
foundation_200,ICLR,oral,abstract_function,quantitative_result,13,9,0.692307692,0.692307692,0.692307692,1.0,interim
foundation_200,ICLR,oral,abstract_function,theory,13,3,0.230769231,0.230769231,0.230769231,0.0,interim
foundation_200,ICLR,oral,appendix_category,ablation,13,4,0.307692308,0.307692308,0.384615385,0.0,interim
foundation_200,ICLR,oral,appendix_category,additional_result,13,10,0.769230769,0.769230769,1.923076923,2.0,interim
foundation_200,ICLR,oral,appendix_category,dataset_detail,13,4,0.307692308,0.307692308,0.615384615,0.0,interim
foundation_200,ICLR,oral,appendix_category,ethics_impact,13,3,0.230769231,0.230769231,0.230769231,0.0,interim
foundation_200,ICLR,oral,appendix_category,extended_method,13,4,0.307692308,0.307692308,0.384615385,0.0,interim
foundation_200,ICLR,oral,appendix_category,failure_case,13,3,0.230769231,0.230769231,0.307692308,0.0,interim
foundation_200,ICLR,oral,appendix_category,hyperparameter,13,2,0.153846154,0.153846154,0.153846154,0.0,interim
foundation_200,ICLR,oral,appendix_category,implementation_detail,13,10,0.769230769,0.769230769,1.0,1.0,interim
foundation_200,ICLR,oral,appendix_category,other,13,10,0.769230769,0.769230769,1.0,1.0,interim
foundation_200,ICLR,oral,appendix_category,proof,13,1,0.076923077,0.076923077,0.076923077,0.0,interim
foundation_200,ICLR,oral,appendix_category,qualitative_example,13,6,0.461538462,0.461538462,0.615384615,0.0,interim
foundation_200,ICLR,oral,appendix_category,reproducibility,13,7,0.538461538,0.538461538,0.692307692,1.0,interim
foundation_200,ICLR,oral,appendix_category,robustness,13,6,0.461538462,0.461538462,0.692307692,0.0,interim
foundation_200,ICLR,oral,claim_status,closed,13,10,0.769230769,0.769230769,1.769230769,2.0,interim
foundation_200,ICLR,oral,claim_status,not_testable_here,13,1,0.076923077,0.076923077,0.076923077,0.0,interim
foundation_200,ICLR,oral,claim_status,open,13,4,0.307692308,0.307692308,0.384615385,0.0,interim
foundation_200,ICLR,oral,claim_status,partially_closed,13,13,1.0,1.0,5.615384615,6.0,interim
foundation_200,ICLR,oral,limitation_type,assumption,13,1,0.076923077,0.076923077,0.153846154,0.0,interim
foundation_200,ICLR,oral,limitation_type,baseline,13,1,0.076923077,0.076923077,0.076923077,0.0,interim
foundation_200,ICLR,oral,limitation_type,compute,13,1,0.076923077,0.076923077,0.076923077,0.0,interim
foundation_200,ICLR,oral,limitation_type,data,13,2,0.153846154,0.153846154,0.230769231,0.0,interim
foundation_200,ICLR,oral,limitation_type,deployment,13,1,0.076923077,0.076923077,0.076923077,0.0,interim
foundation_200,ICLR,oral,limitation_type,generality,13,2,0.153846154,0.153846154,0.153846154,0.0,interim
foundation_200,ICLR,oral,limitation_type,metric,13,2,0.153846154,0.153846154,0.153846154,0.0,interim
foundation_200,ICLR,oral,limitation_type,scope,13,1,0.076923077,0.076923077,0.153846154,0.0,interim
foundation_200,ICLR,oral,limitation_type,unspecified,13,11,0.846153846,0.846153846,6.153846154,7.0,interim
foundation_200,ICLR,oral,statistical_field_reported,aggregation_units,13,1,0.076923077,0.076923077,0.076923077,0.0,interim
foundation_200,ICLR,oral,statistical_field_reported,bayesian,13,0,0.0,0.0,0.0,0.0,interim
foundation_200,ICLR,oral,statistical_field_reported,bootstrap,13,0,0.0,0.0,0.0,0.0,interim
foundation_200,ICLR,oral,statistical_field_reported,central_tendency,13,1,0.076923077,0.076923077,0.076923077,0.0,interim
foundation_200,ICLR,oral,statistical_field_reported,correlation,13,0,0.0,0.0,0.0,0.0,interim
foundation_200,ICLR,oral,statistical_field_reported,dispersion,13,0,0.0,0.0,0.0,0.0,interim
foundation_200,ICLR,oral,statistical_field_reported,hypothesis_tests,13,0,0.0,0.0,0.0,0.0,interim
foundation_200,ICLR,oral,statistical_field_reported,intervals,13,0,0.0,0.0,0.0,0.0,interim
foundation_200,ICLR,oral,statistical_field_reported,multiple_comparisons,13,0,0.0,0.0,0.0,0.0,interim
foundation_200,ICLR,oral,statistical_field_reported,regression,13,0,0.0,0.0,0.0,0.0,interim
foundation_200,ICLR,oral,statistical_field_reported,seed_hierarchy,13,1,0.076923077,0.076923077,0.076923077,0.0,interim
foundation_200,ICLR,oral,statistical_field_reported,significance_language,13,1,0.076923077,0.076923077,0.076923077,0.0,interim
foundation_200,ICLR,oral,statistical_field_reported,substantive_vs_statistical,13,1,0.076923077,0.076923077,0.076923077,0.0,interim
foundation_200,ICLR,oral,statistical_field_reported,uncertainty_reported,13,1,0.076923077,0.076923077,0.076923077,0.0,interim
foundation_200,ICLR,oral,theory_kind,displayed_equation,13,5,0.384615385,0.384615385,1.153846154,0.0,interim
foundation_200,ICLR,oral,theory_kind,numbered_equation,13,10,0.769230769,0.769230769,4.076923077,4.0,interim
foundation_200,ICLR,oral,theory_kind,proof,13,1,0.076923077,0.076923077,0.076923077,0.0,interim
foundation_200,ICLR,oral,theory_role,core_chain,13,11,0.846153846,0.846153846,4.307692308,4.0,interim
foundation_200,ICLR,oral,theory_role,diagnostic,13,1,0.076923077,0.076923077,0.153846154,0.0,interim
foundation_200,ICLR,oral,theory_role,explanation,13,5,0.384615385,0.384615385,0.615384615,0.0,interim
foundation_200,ICLR,oral,theory_role,guarantee,13,1,0.076923077,0.076923077,0.230769231,0.0,interim
foundation_200,ICLR,oral,visual_kind,algorithm,13,1,0.076923077,0.076923077,0.076923077,0.0,interim
foundation_200,ICLR,oral,visual_kind,figure,13,13,1.0,1.0,8.769230769,7.0,interim
foundation_200,ICLR,oral,visual_kind,table,13,13,1.0,1.0,8.846153846,9.0,interim
foundation_200,ICLR,oral,visual_module,ablation,13,13,1.0,1.0,2.076923077,2.0,interim
foundation_200,ICLR,oral,visual_module,appendix,13,11,0.846153846,0.846153846,7.384615385,5.0,interim
foundation_200,ICLR,oral,visual_module,experimental_design,13,4,0.307692308,0.307692308,0.846153846,0.0,interim
foundation_200,ICLR,oral,visual_module,introduction,13,7,0.538461538,0.538461538,0.692307692,1.0,interim
foundation_200,ICLR,oral,visual_module,limitations,13,1,0.076923077,0.076923077,0.230769231,0.0,interim
foundation_200,ICLR,oral,visual_module,method,13,13,1.0,1.0,1.615384615,2.0,interim
foundation_200,ICLR,oral,visual_module,other,13,1,0.076923077,0.076923077,0.076923077,0.0,interim
foundation_200,ICLR,oral,visual_module,related_work,13,3,0.230769231,0.230769231,0.230769231,0.0,interim
foundation_200,ICLR,oral,visual_module,results,13,13,1.0,1.0,4.307692308,4.0,interim
foundation_200,ICLR,oral,visual_module,theory,13,2,0.153846154,0.153846154,0.230769231,0.0,interim
foundation_200,ICLR,outstanding,abstract_function,core_idea,2,1,0.5,0.5,0.5,0.5,interim
foundation_200,ICLR,outstanding,abstract_function,experimental_setup,2,1,0.5,0.5,0.5,0.5,interim
foundation_200,ICLR,outstanding,abstract_function,impact_claim,2,2,1.0,1.0,1.0,1.0,interim
foundation_200,ICLR,outstanding,abstract_function,limitation,2,0,0.0,0.0,0.0,0.0,interim
foundation_200,ICLR,outstanding,abstract_function,method,2,1,0.5,0.5,0.5,0.5,interim
foundation_200,ICLR,outstanding,abstract_function,object_scope,2,2,1.0,1.0,1.0,1.0,interim
foundation_200,ICLR,outstanding,abstract_function,problem_gap,2,1,0.5,0.5,0.5,0.5,interim
foundation_200,ICLR,outstanding,abstract_function,qualitative_result,2,2,1.0,1.0,1.0,1.0,interim
foundation_200,ICLR,outstanding,abstract_function,quantitative_result,2,1,0.5,0.5,0.5,0.5,interim
foundation_200,ICLR,outstanding,abstract_function,theory,2,1,0.5,0.5,0.5,0.5,interim
foundation_200,ICLR,outstanding,appendix_category,ablation,2,1,0.5,0.5,2.0,2.0,interim
foundation_200,ICLR,outstanding,appendix_category,additional_result,2,1,0.5,0.5,0.5,0.5,interim
foundation_200,ICLR,outstanding,appendix_category,extended_method,2,1,0.5,0.5,1.5,1.5,interim
foundation_200,ICLR,outstanding,appendix_category,implementation_detail,2,1,0.5,0.5,1.0,1.0,interim
foundation_200,ICLR,outstanding,appendix_category,other,2,1,0.5,0.5,1.0,1.0,interim
foundation_200,ICLR,outstanding,appendix_category,proof,2,1,0.5,0.5,3.5,3.5,interim
foundation_200,ICLR,outstanding,appendix_category,qualitative_example,2,1,0.5,0.5,0.5,0.5,interim
foundation_200,ICLR,outstanding,appendix_category,reproducibility,2,1,0.5,0.5,1.0,1.0,interim
foundation_200,ICLR,outstanding,appendix_category,robustness,2,1,0.5,0.5,0.5,0.5,interim
foundation_200,ICLR,outstanding,claim_status,closed,2,2,1.0,1.0,4.5,4.5,interim
foundation_200,ICLR,outstanding,claim_status,not_testable_here,2,1,0.5,0.5,1.0,1.0,interim
foundation_200,ICLR,outstanding,claim_status,partially_closed,2,2,1.0,1.0,2.5,2.5,interim
foundation_200,ICLR,outstanding,limitation_type,unspecified,2,2,1.0,1.0,10.5,10.5,interim
foundation_200,ICLR,outstanding,theory_kind,corollary,2,1,0.5,0.5,1.5,1.5,interim
foundation_200,ICLR,outstanding,theory_kind,displayed_equation,2,1,0.5,0.5,4.0,4.0,interim
foundation_200,ICLR,outstanding,theory_kind,lemma,2,1,0.5,0.5,1.0,1.0,interim
foundation_200,ICLR,outstanding,theory_kind,numbered_equation,2,1,0.5,0.5,6.0,6.0,interim
foundation_200,ICLR,outstanding,theory_kind,proof,2,1,0.5,0.5,3.5,3.5,interim
foundation_200,ICLR,outstanding,theory_kind,proposition,2,1,0.5,0.5,3.5,3.5,interim
foundation_200,ICLR,outstanding,theory_kind,theorem,2,1,0.5,0.5,2.0,2.0,interim
foundation_200,ICLR,outstanding,theory_role,core_chain,2,2,1.0,1.0,13.5,13.5,interim
foundation_200,ICLR,outstanding,theory_role,diagnostic,2,2,1.0,1.0,1.5,1.5,interim
foundation_200,ICLR,outstanding,theory_role,explanation,2,2,1.0,1.0,4.5,4.5,interim
foundation_200,ICLR,outstanding,theory_role,guarantee,2,1,0.5,0.5,2.0,2.0,interim
foundation_200,ICLR,outstanding,visual_kind,figure,2,1,0.5,0.5,5.0,5.0,interim
foundation_200,ICLR,outstanding,visual_kind,table,2,1,0.5,0.5,5.0,5.0,interim
foundation_200,ICLR,outstanding,visual_module,abstract,2,1,0.5,0.5,0.5,0.5,interim
foundation_200,ICLR,outstanding,visual_module,appendix,2,1,0.5,0.5,7.0,7.0,interim
foundation_200,ICLR,outstanding,visual_module,experimental_design,2,1,0.5,0.5,0.5,0.5,interim
foundation_200,ICLR,outstanding,visual_module,method,2,1,0.5,0.5,1.0,1.0,interim
foundation_200,ICLR,outstanding,visual_module,results,2,1,0.5,0.5,1.0,1.0,interim
foundation_200,ICML,all,abstract_function,core_idea,100,96,0.96,0.97998336,0.96,1.0,interim
foundation_200,ICML,all,abstract_function,experimental_setup,100,70,0.7,0.71942446,0.7,1.0,interim
foundation_200,ICML,all,abstract_function,impact_claim,100,90,0.9,0.898448588,0.9,1.0,interim
foundation_200,ICML,all,abstract_function,limitation,100,22,0.22,0.219938335,0.22,0.0,interim
foundation_200,ICML,all,abstract_function,method,100,97,0.97,0.982381442,0.97,1.0,interim
foundation_200,ICML,all,abstract_function,object_scope,100,100,1.0,1.0,1.0,1.0,interim
foundation_200,ICML,all,abstract_function,problem_gap,100,93,0.93,0.936671071,0.93,1.0,interim
foundation_200,ICML,all,abstract_function,qualitative_result,100,88,0.88,0.886702883,0.88,1.0,interim
foundation_200,ICML,all,abstract_function,quantitative_result,100,45,0.45,0.437184946,0.45,0.0,interim
foundation_200,ICML,all,abstract_function,theory,100,53,0.53,0.530465424,0.53,1.0,interim
foundation_200,ICML,all,appendix_category,ablation,100,30,0.3,0.287525082,0.45,0.0,interim
foundation_200,ICML,all,appendix_category,additional_result,100,75,0.75,0.733274605,1.36,1.0,interim
foundation_200,ICML,all,appendix_category,broader_impact,100,2,0.02,0.028874859,0.02,0.0,interim
foundation_200,ICML,all,appendix_category,dataset_detail,100,40,0.4,0.428424607,0.5,0.0,interim
foundation_200,ICML,all,appendix_category,ethics_impact,100,2,0.02,0.020310282,0.03,0.0,interim
foundation_200,ICML,all,appendix_category,extended_method,100,68,0.68,0.695639407,1.15,1.0,interim
foundation_200,ICML,all,appendix_category,failure_case,100,14,0.14,0.138697205,0.16,0.0,interim
foundation_200,ICML,all,appendix_category,hyperparameter,100,41,0.41,0.451426614,0.46,0.0,interim
foundation_200,ICML,all,appendix_category,implementation_detail,100,72,0.72,0.719130818,1.12,1.0,interim
foundation_200,ICML,all,appendix_category,other,100,48,0.48,0.449713698,0.72,0.0,interim
foundation_200,ICML,all,appendix_category,proof,100,51,0.51,0.518719718,1.52,1.0,interim
foundation_200,ICML,all,appendix_category,qualitative_example,100,41,0.41,0.420643077,0.49,0.0,interim
foundation_200,ICML,all,appendix_category,reproducibility,100,37,0.37,0.362893359,0.5,0.0,interim
foundation_200,ICML,all,appendix_category,review_response_residue,100,1,0.01,0.005872853,0.01,0.0,interim
foundation_200,ICML,all,appendix_category,robustness,100,42,0.42,0.431605736,0.58,0.0,interim
foundation_200,ICML,all,claim_status,closed,100,94,0.94,0.939069153,1.98,2.0,interim
foundation_200,ICML,all,claim_status,not_testable_here,100,41,0.41,0.400039152,0.42,0.0,interim
foundation_200,ICML,all,claim_status,open,100,30,0.3,0.270395928,0.31,0.0,interim
foundation_200,ICML,all,claim_status,partially_closed,100,100,1.0,1.0,4.1,4.0,interim
foundation_200,ICML,all,limitation_type,assumption,100,6,0.06,0.05236627,0.11,0.0,interim
foundation_200,ICML,all,limitation_type,assumption / causality,100,1,0.01,0.01443743,0.01,0.0,interim
foundation_200,ICML,all,limitation_type,assumption/causality,100,1,0.01,0.01443743,0.01,0.0,interim
foundation_200,ICML,all,limitation_type,baseline,100,2,0.02,0.020310282,0.02,0.0,interim
foundation_200,ICML,all,limitation_type,causality,100,3,0.03,0.017618558,0.03,0.0,interim
foundation_200,ICML,all,limitation_type,compute,100,8,0.08,0.072676553,0.1,0.0,interim
foundation_200,ICML,all,limitation_type,data,100,6,0.06,0.05236627,0.09,0.0,interim
foundation_200,ICML,all,limitation_type,data/generality,100,1,0.01,0.01443743,0.01,0.0,interim
foundation_200,ICML,all,limitation_type,deployment,100,4,0.04,0.032055988,0.06,0.0,interim
foundation_200,ICML,all,limitation_type,deployment / ethics,100,1,0.01,0.01443743,0.01,0.0,interim
foundation_200,ICML,all,limitation_type,deployment/ethics,100,1,0.01,0.01443743,0.01,0.0,interim
foundation_200,ICML,all,limitation_type,ethics,100,3,0.03,0.026183135,0.03,0.0,interim
foundation_200,ICML,all,limitation_type,generality,100,7,0.07,0.075368277,0.07,0.0,interim
foundation_200,ICML,all,limitation_type,method/causality,100,1,0.01,0.01443743,0.01,0.0,interim
foundation_200,ICML,all,limitation_type,metric,100,6,0.06,0.043801693,0.06,0.0,interim
foundation_200,ICML,all,limitation_type,reporting,100,1,0.01,0.005872853,0.01,0.0,interim
foundation_200,ICML,all,limitation_type,scope,100,5,0.05,0.037928841,0.07,0.0,interim
foundation_200,ICML,all,limitation_type,statistical reporting,100,1,0.01,0.005872853,0.01,0.0,interim
foundation_200,ICML,all,limitation_type,unspecified,100,88,0.88,0.886702883,5.93,6.0,interim
foundation_200,ICML,all,statistical_field_reported,aggregation_and_denominators,100,2,0.02,0.011745705,0.02,0.0,interim
foundation_200,ICML,all,statistical_field_reported,aggregation_unit,100,2,0.02,0.020310282,0.02,0.0,interim
foundation_200,ICML,all,statistical_field_reported,aggregation_units,100,2,0.02,0.020310282,0.02,0.0,interim
foundation_200,ICML,all,statistical_field_reported,bayesian,100,0,0.0,0.0,0.0,0.0,interim
foundation_200,ICML,all,statistical_field_reported,bayesian_analysis,100,0,0.0,0.0,0.0,0.0,interim
foundation_200,ICML,all,statistical_field_reported,bootstrap,100,1,0.01,0.01443743,0.01,0.0,interim
foundation_200,ICML,all,statistical_field_reported,caption_self_containment,100,1,0.01,0.01443743,0.01,0.0,interim
foundation_200,ICML,all,statistical_field_reported,center,100,1,0.01,0.01443743,0.01,0.0,interim
foundation_200,ICML,all,statistical_field_reported,central_tendency,100,2,0.02,0.020310282,0.02,0.0,interim
foundation_200,ICML,all,statistical_field_reported,correlation,100,0,0.0,0.0,0.0,0.0,interim
foundation_200,ICML,all,statistical_field_reported,decision_quantities,100,2,0.02,0.020310282,0.02,0.0,interim
foundation_200,ICML,all,statistical_field_reported,denominator,100,1,0.01,0.01443743,0.01,0.0,interim
foundation_200,ICML,all,statistical_field_reported,dispersion,100,1,0.01,0.01443743,0.01,0.0,interim
foundation_200,ICML,all,statistical_field_reported,dispersion_or_intervals,100,1,0.01,0.005872853,0.01,0.0,interim
foundation_200,ICML,all,statistical_field_reported,empirical_statistics,100,0,0.0,0.0,0.0,0.0,interim
foundation_200,ICML,all,statistical_field_reported,figure_caption_independence,100,1,0.01,0.005872853,0.01,0.0,interim
foundation_200,ICML,all,statistical_field_reported,figure_table_independence,100,1,0.01,0.005872853,0.01,0.0,interim
foundation_200,ICML,all,statistical_field_reported,hypothesis_tests,100,0,0.0,0.0,0.0,0.0,interim
foundation_200,ICML,all,statistical_field_reported,intervals,100,1,0.01,0.01443743,0.01,0.0,interim
foundation_200,ICML,all,statistical_field_reported,methods_not_present,100,2,0.02,0.011745705,0.02,0.0,interim
foundation_200,ICML,all,statistical_field_reported,methods_present,100,2,0.02,0.011745705,0.02,0.0,interim
foundation_200,ICML,all,statistical_field_reported,multiple_comparisons,100,0,0.0,0.0,0.0,0.0,interim
foundation_200,ICML,all,statistical_field_reported,regression_or_fit,100,1,0.01,0.01443743,0.01,0.0,interim
foundation_200,ICML,all,statistical_field_reported,seed_level,100,0,0.0,0.0,0.0,0.0,interim
foundation_200,ICML,all,statistical_field_reported,seed_task_dataset_levels,100,1,0.01,0.01443743,0.01,0.0,interim
foundation_200,ICML,all,statistical_field_reported,significance_vs_substance,100,2,0.02,0.011745705,0.02,0.0,interim
foundation_200,ICML,all,statistical_field_reported,statistical_significance_vs_mechanism,100,1,0.01,0.01443743,0.01,0.0,interim
foundation_200,ICML,all,statistical_field_reported,theoretical_probability,100,1,0.01,0.005872853,0.01,0.0,interim
foundation_200,ICML,all,statistical_field_reported,uncertainty_in_visuals,100,1,0.01,0.005872853,0.01,0.0,interim
foundation_200,ICML,all,statistical_field_reported,uncertainty_reporting,100,1,0.01,0.01443743,0.01,0.0,interim
foundation_200,ICML,all,theory_kind,corollary,100,20,0.2,0.173934322,0.53,0.0,interim
foundation_200,ICML,all,theory_kind,displayed_equation,100,49,0.49,0.49331963,2.2,0.0,interim
foundation_200,ICML,all,theory_kind,lemma,100,32,0.32,0.304360593,2.04,0.0,interim
foundation_200,ICML,all,theory_kind,numbered_equation,100,88,0.88,0.895267459,15.77,11.0,interim
foundation_200,ICML,all,theory_kind,proof,100,40,0.4,0.3941663,1.56,0.0,interim
foundation_200,ICML,all,theory_kind,proposition,100,30,0.3,0.266921157,1.14,0.0,interim
foundation_200,ICML,all,theory_kind,theorem,100,43,0.43,0.420349435,2.02,0.0,interim
