left_dimension,left_value,right_dimension,right_value,papers,papers_present,paper_prevalence,conference_equal_paper_prevalence,object_count,object_share,paper_normalized_object_share,conference_equal_paper_normalized_share
purpose,ablation,types,box,250,7,0.028,0.03,10,0.001852,0.002593,0.003006
purpose,ablation,types,conceptual_diagram,250,7,0.028,0.025,8,0.001481,0.001762,0.001547
purpose,ablation,types,heatmap,250,27,0.108,0.11,44,0.008148,0.008119,0.007844
purpose,ablation,types,histogram,250,4,0.016,0.015,7,0.001296,0.001952,0.001725
purpose,ablation,types,image_montage,250,28,0.112,0.101667,45,0.008333,0.008955,0.008282
purpose,ablation,types,line,250,127,0.508,0.503333,419,0.077593,0.062211,0.06347
purpose,ablation,types,matrix,250,16,0.064,0.065,26,0.004815,0.004262,0.004307
purpose,ablation,types,other,250,11,0.044,0.043333,14,0.002593,0.002843,0.002781
purpose,ablation,types,pareto,250,4,0.016,0.016667,6,0.001111,0.000849,0.000873
purpose,ablation,types,pipeline,250,3,0.012,0.01,3,0.000556,0.000639,0.000533
purpose,ablation,types,qualitative_grid,250,36,0.144,0.133333,72,0.013333,0.012995,0.01187
purpose,ablation,types,scatter,250,32,0.128,0.125,51,0.009444,0.010799,0.010823
purpose,ablation,types,screenshot,250,1,0.004,0.003333,2,0.00037,0.000276,0.00023
purpose,ablation,types,table,250,169,0.676,0.668333,510,0.094444,0.094454,0.092524
purpose,ablation,types,violin,250,1,0.004,0.005,1,0.000185,0.000235,0.000294
purpose,dataset,types,architecture,250,6,0.024,0.023333,6,0.001111,0.000958,0.000905
purpose,dataset,types,area,250,1,0.004,0.003333,2,0.00037,0.000421,0.000351
purpose,dataset,types,bar,250,19,0.076,0.076667,27,0.005,0.004805,0.004784
purpose,dataset,types,box,250,1,0.004,0.003333,1,0.000185,0.00025,0.000208
purpose,dataset,types,conceptual_diagram,250,27,0.108,0.108333,29,0.00537,0.005145,0.005206
purpose,dataset,types,heatmap,250,5,0.02,0.02,12,0.002222,0.002353,0.002169
purpose,dataset,types,histogram,250,7,0.028,0.026667,10,0.001852,0.001687,0.001601
purpose,dataset,types,image_montage,250,34,0.136,0.141667,64,0.011852,0.012234,0.013332
purpose,dataset,types,line,250,12,0.048,0.048333,18,0.003333,0.00426,0.003969
purpose,dataset,types,map,250,4,0.016,0.013333,4,0.000741,0.000569,0.000474
purpose,dataset,types,matrix,250,4,0.016,0.015,5,0.000926,0.000655,0.00065
purpose,dataset,types,network,250,4,0.016,0.013333,4,0.000741,0.000829,0.000691
purpose,dataset,types,other,250,18,0.072,0.078333,23,0.004259,0.003948,0.004336
purpose,dataset,types,pipeline,250,17,0.068,0.065,19,0.003519,0.003588,0.003476
purpose,dataset,types,qualitative_grid,250,42,0.168,0.17,78,0.014444,0.014986,0.015714
purpose,dataset,types,scatter,250,10,0.04,0.038333,12,0.002222,0.002951,0.002767
purpose,dataset,types,screenshot,250,7,0.028,0.028333,7,0.001296,0.001291,0.001358
purpose,dataset,types,table,250,102,0.408,0.4,271,0.050185,0.046878,0.045376
purpose,dataset,types,tree,250,3,0.012,0.011667,3,0.000556,0.000513,0.000489
purpose,efficiency_cost,types,architecture,250,3,0.012,0.011667,4,0.000741,0.001266,0.001143
purpose,efficiency_cost,types,area,250,14,0.056,0.06,31,0.005741,0.006559,0.00719
purpose,efficiency_cost,types,bar,250,47,0.188,0.185,71,0.013148,0.01512,0.014327
purpose,efficiency_cost,types,box,250,4,0.016,0.016667,8,0.001481,0.001742,0.00196
purpose,efficiency_cost,types,conceptual_diagram,250,13,0.052,0.053333,13,0.002407,0.003198,0.003175
purpose,efficiency_cost,types,heatmap,250,6,0.024,0.026667,7,0.001296,0.00183,0.002021
purpose,efficiency_cost,types,histogram,250,1,0.004,0.003333,1,0.000185,0.000118,9.8e-05
purpose,efficiency_cost,types,image_montage,250,4,0.016,0.015,6,0.001111,0.001205,0.001061
purpose,efficiency_cost,types,line,250,109,0.436,0.44,403,0.07463,0.055859,0.058803
purpose,efficiency_cost,types,map,250,1,0.004,0.005,1,0.000185,0.000364,0.000455
purpose,efficiency_cost,types,matrix,250,4,0.016,0.015,4,0.000741,0.001121,0.001085
purpose,efficiency_cost,types,network,250,3,0.012,0.013333,3,0.000556,0.000712,0.000779
purpose,efficiency_cost,types,other,250,6,0.024,0.021667,9,0.001667,0.002544,0.002199
purpose,efficiency_cost,types,pareto,250,11,0.044,0.046667,48,0.008889,0.003861,0.004366
purpose,efficiency_cost,types,pipeline,250,6,0.024,0.023333,7,0.001296,0.002107,0.001941
purpose,efficiency_cost,types,qualitative_grid,250,6,0.024,0.023333,7,0.001296,0.001612,0.001552
purpose,efficiency_cost,types,scatter,250,36,0.144,0.141667,59,0.010926,0.01217,0.011908
purpose,efficiency_cost,types,table,250,138,0.552,0.548333,366,0.067778,0.071403,0.070423
purpose,efficiency_cost,types,tree,250,1,0.004,0.005,1,0.000185,0.000211,0.000263
purpose,experimental_design,types,architecture,250,73,0.292,0.281667,92,0.017037,0.017905,0.01759
purpose,experimental_design,types,area,250,10,0.04,0.043333,16,0.002963,0.003777,0.004248
purpose,experimental_design,types,bar,250,28,0.112,0.116667,37,0.006852,0.006569,0.006651
purpose,experimental_design,types,conceptual_diagram,250,125,0.5,0.495,190,0.035185,0.037033,0.036699
purpose,experimental_design,types,heatmap,250,14,0.056,0.06,20,0.003704,0.003867,0.004082
purpose,experimental_design,types,histogram,250,6,0.024,0.025,7,0.001296,0.001461,0.001516
purpose,experimental_design,types,image_montage,250,36,0.144,0.143333,60,0.011111,0.010373,0.010422
purpose,experimental_design,types,line,250,69,0.276,0.278333,111,0.020556,0.027174,0.02825
purpose,experimental_design,types,map,250,4,0.016,0.018333,7,0.001296,0.001781,0.002178
purpose,experimental_design,types,matrix,250,15,0.06,0.06,17,0.003148,0.002773,0.002684
purpose,experimental_design,types,network,250,6,0.024,0.021667,6,0.001111,0.001386,0.001307
purpose,experimental_design,types,other,250,23,0.092,0.095,53,0.009815,0.008048,0.00839
purpose,experimental_design,types,pipeline,250,107,0.428,0.418333,142,0.026296,0.028621,0.027952
purpose,experimental_design,types,qualitative_grid,250,49,0.196,0.193333,79,0.01463,0.013767,0.01347
purpose,experimental_design,types,scatter,250,21,0.084,0.086667,28,0.005185,0.006647,0.007169
purpose,experimental_design,types,screenshot,250,23,0.092,0.088333,53,0.009815,0.008369,0.007744
purpose,experimental_design,types,table,250,143,0.572,0.581667,403,0.07463,0.071554,0.071371
purpose,experimental_design,types,tree,250,3,0.012,0.015,4,0.000741,0.000499,0.000624
purpose,experimental_design,types,violin,250,1,0.004,0.003333,1,0.000185,0.000308,0.000256
purpose,failure,types,area,250,10,0.04,0.043333,23,0.004259,0.003276,0.00356
purpose,failure,types,bar,250,21,0.084,0.085,32,0.005926,0.005239,0.005052
purpose,failure,types,box,250,3,0.012,0.013333,3,0.000556,0.000719,0.000843
purpose,failure,types,conceptual_diagram,250,12,0.048,0.046667,12,0.002222,0.002352,0.002209
purpose,failure,types,heatmap,250,10,0.04,0.04,20,0.003704,0.003245,0.003026
purpose,failure,types,histogram,250,3,0.012,0.01,3,0.000556,0.000651,0.000542
purpose,failure,types,image_montage,250,44,0.176,0.168333,99,0.018333,0.017232,0.01617
purpose,failure,types,line,250,56,0.224,0.236667,105,0.019444,0.021074,0.022047
purpose,failure,types,map,250,1,0.004,0.003333,2,0.00037,0.000421,0.000351
purpose,failure,types,matrix,250,5,0.02,0.021667,5,0.000926,0.000926,0.00105
purpose,failure,types,network,250,2,0.008,0.01,2,0.00037,0.000317,0.000396
purpose,failure,types,other,250,15,0.06,0.06,30,0.005556,0.005184,0.00521
purpose,failure,types,pareto,250,1,0.004,0.005,2,0.00037,0.000211,0.000263
purpose,failure,types,pipeline,250,3,0.012,0.01,3,0.000556,0.000583,0.000486
purpose,failure,types,qualitative_grid,250,52,0.208,0.2,128,0.023704,0.021308,0.020171
purpose,failure,types,scatter,250,13,0.052,0.05,18,0.003333,0.002456,0.002334
purpose,failure,types,screenshot,250,14,0.056,0.05,33,0.006111,0.004891,0.004303
purpose,failure,types,table,250,61,0.244,0.245,121,0.022407,0.024579,0.023575
purpose,failure,types,violin,250,1,0.004,0.005,1,0.000185,0.00019,0.000238
purpose,headline,types,architecture,250,38,0.152,0.143333,39,0.007222,0.009163,0.008945
purpose,headline,types,area,250,16,0.064,0.063333,21,0.003889,0.00492,0.005209
purpose,headline,types,bar,250,63,0.252,0.256667,79,0.01463,0.01561,0.01574
purpose,headline,types,box,250,3,0.012,0.011667,3,0.000556,0.000612,0.000661
purpose,headline,types,conceptual_diagram,250,117,0.468,0.463333,129,0.023889,0.027856,0.02768
purpose,headline,types,heatmap,250,15,0.06,0.063333,17,0.003148,0.004288,0.004846
purpose,headline,types,histogram,250,3,0.012,0.011667,3,0.000556,0.000841,0.000829
purpose,headline,types,image_montage,250,43,0.172,0.165,56,0.01037,0.011434,0.010985
purpose,headline,types,line,250,116,0.464,0.47,180,0.033333,0.046615,0.048273
purpose,headline,types,map,250,1,0.004,0.005,1,0.000185,0.000267,0.000333
purpose,headline,types,matrix,250,10,0.04,0.041667,11,0.002037,0.002829,0.003269
purpose,headline,types,network,250,3,0.012,0.013333,3,0.000556,0.00065,0.000702
purpose,headline,types,other,250,22,0.088,0.093333,25,0.00463,0.004957,0.005308
purpose,headline,types,pareto,250,9,0.036,0.041667,12,0.002222,0.001496,0.001747
purpose,headline,types,pipeline,250,77,0.308,0.301667,79,0.01463,0.017731,0.01759
purpose,headline,types,qualitative_grid,250,60,0.24,0.23,77,0.014259,0.01495,0.014457
purpose,headline,types,scatter,250,48,0.192,0.191667,63,0.011667,0.014628,0.014811
purpose,headline,types,screenshot,250,4,0.016,0.015,4,0.000741,0.000748,0.000711
purpose,headline,types,table,250,147,0.588,0.585,228,0.042222,0.052083,0.051491
purpose,headline,types,tree,250,1,0.004,0.003333,1,0.000185,0.000211,0.000175
purpose,headline,types,violin,250,1,0.004,0.005,1,0.000185,0.00019,0.000238
purpose,main_comparison,types,architecture,250,3,0.012,0.011667,3,0.000556,0.000603,0.000631
purpose,main_comparison,types,area,250,21,0.084,0.085,48,0.008889,0.009927,0.010499
purpose,main_comparison,types,bar,250,97,0.388,0.385,209,0.038704,0.037697,0.037578
purpose,main_comparison,types,box,250,8,0.032,0.031667,15,0.002778,0.003654,0.003824
purpose,main_comparison,types,conceptual_diagram,250,25,0.1,0.096667,30,0.005556,0.006662,0.006647
purpose,main_comparison,types,heatmap,250,28,0.112,0.111667,66,0.012222,0.011579,0.011487
purpose,main_comparison,types,histogram,250,8,0.032,0.03,11,0.002037,0.00309,0.002734
purpose,main_comparison,types,image_montage,250,54,0.216,0.211667,129,0.023889,0.023612,0.022921
purpose,main_comparison,types,line,250,151,0.604,0.608333,504,0.093333,0.109652,0.111626
purpose,main_comparison,types,map,250,6,0.024,0.023333,13,0.002407,0.002031,0.001901
purpose,main_comparison,types,matrix,250,16,0.064,0.065,33,0.006111,0.00577,0.005991
purpose,main_comparison,types,network,250,2,0.008,0.01,3,0.000556,0.000918,0.001147
purpose,main_comparison,types,other,250,27,0.108,0.11,41,0.007593,0.007452,0.007473
purpose,main_comparison,types,pareto,250,11,0.044,0.048333,32,0.005926,0.003344,0.00387
purpose,main_comparison,types,pipeline,250,8,0.032,0.03,8,0.001481,0.001696,0.001622
purpose,main_comparison,types,qualitative_grid,250,68,0.272,0.261667,157,0.029074,0.028418,0.02705
purpose,main_comparison,types,scatter,250,70,0.28,0.281667,149,0.027593,0.031534,0.032006
purpose,main_comparison,types,screenshot,250,5,0.02,0.018333,12,0.002222,0.001728,0.001527
purpose,main_comparison,types,table,250,222,0.888,0.883333,1239,0.229444,0.23449,0.228679
purpose,main_comparison,types,violin,250,2,0.008,0.008333,3,0.000556,0.000498,0.000495
purpose,mechanism,types,architecture,250,12,0.048,0.05,17,0.003148,0.002442,0.002505
purpose,mechanism,types,area,250,30,0.12,0.121667,93,0.017222,0.01108,0.011682
purpose,mechanism,types,bar,250,71,0.284,0.281667,124,0.022963,0.022356,0.022047
purpose,mechanism,types,box,250,9,0.036,0.035,12,0.002222,0.00271,0.00284
purpose,mechanism,types,conceptual_diagram,250,41,0.164,0.165,58,0.010741,0.01117,0.011535
purpose,mechanism,types,heatmap,250,55,0.22,0.226667,121,0.022407,0.021928,0.02306
purpose,mechanism,types,histogram,250,18,0.072,0.068333,32,0.005926,0.006892,0.006164
purpose,mechanism,types,image_montage,250,42,0.168,0.165,68,0.012593,0.012246,0.011888
purpose,mechanism,types,line,250,141,0.564,0.57,424,0.078519,0.078111,0.079581
purpose,mechanism,types,map,250,1,0.004,0.005,1,0.000185,0.000364,0.000455
purpose,mechanism,types,matrix,250,39,0.156,0.16,81,0.015,0.015311,0.016456
purpose,mechanism,types,network,250,4,0.016,0.018333,6,0.001111,0.001181,0.001435
purpose,mechanism,types,other,250,18,0.072,0.075,36,0.006667,0.005688,0.005788
purpose,mechanism,types,pareto,250,1,0.004,0.005,5,0.000926,0.000526,0.000658
purpose,mechanism,types,pipeline,250,17,0.068,0.068333,27,0.005,0.004371,0.004296
purpose,mechanism,types,qualitative_grid,250,79,0.316,0.316667,155,0.028704,0.028002,0.028215
purpose,mechanism,types,scatter,250,62,0.248,0.253333,119,0.022037,0.023157,0.023691
purpose,mechanism,types,screenshot,250,11,0.044,0.041667,29,0.00537,0.004251,0.004255
purpose,mechanism,types,table,250,126,0.504,0.493333,314,0.058148,0.057994,0.057031
purpose,mechanism,types,violin,250,3,0.012,0.011667,3,0.000556,0.000697,0.000679
purpose,method_interface,types,architecture,250,140,0.56,0.55,200,0.037037,0.042058,0.041048
purpose,method_interface,types,area,250,6,0.024,0.023333,7,0.001296,0.001698,0.001722
purpose,method_interface,types,bar,250,16,0.064,0.068333,17,0.003148,0.003426,0.003594
purpose,method_interface,types,conceptual_diagram,250,213,0.852,0.855,424,0.078519,0.09249,0.091621
purpose,method_interface,types,heatmap,250,13,0.052,0.056667,15,0.002778,0.002608,0.002897
purpose,method_interface,types,histogram,250,2,0.008,0.01,2,0.00037,0.000536,0.00067
purpose,method_interface,types,image_montage,250,41,0.164,0.158333,68,0.012593,0.013337,0.01261
purpose,method_interface,types,line,250,36,0.144,0.146667,43,0.007963,0.011225,0.011782
purpose,method_interface,types,map,250,4,0.016,0.016667,4,0.000741,0.000881,0.000949
purpose,method_interface,types,matrix,250,27,0.108,0.106667,37,0.006852,0.006204,0.005941
purpose,method_interface,types,network,250,17,0.068,0.066667,23,0.004259,0.006265,0.006397
purpose,method_interface,types,other,250,22,0.088,0.093333,60,0.011111,0.010099,0.010871
purpose,method_interface,types,pipeline,250,178,0.712,0.701667,286,0.052963,0.061605,0.059666
purpose,method_interface,types,qualitative_grid,250,65,0.26,0.258333,104,0.019259,0.020021,0.019365
purpose,method_interface,types,scatter,250,13,0.052,0.05,17,0.003148,0.004616,0.004375
purpose,method_interface,types,screenshot,250,37,0.148,0.133333,121,0.022407,0.016293,0.014455
purpose,method_interface,types,table,250,64,0.256,0.256667,134,0.024815,0.024157,0.024315
purpose,method_interface,types,tree,250,6,0.024,0.021667,8,0.001481,0.001573,0.001398
purpose,method_interface,types,violin,250,1,0.004,0.003333,1,0.000185,0.000154,0.000128
purpose,other,types,bar,250,1,0.004,0.005,2,0.00037,0.000296,0.00037
purpose,other,types,box,250,1,0.004,0.005,1,0.000185,9.8e-05,0.000122
purpose,other,types,conceptual_diagram,250,3,0.012,0.01,3,0.000556,0.000402,0.000335
purpose,other,types,heatmap,250,1,0.004,0.003333,1,0.000185,0.000308,0.000256
purpose,other,types,image_montage,250,5,0.02,0.021667,7,0.001296,0.001173,0.001258
purpose,other,types,line,250,5,0.02,0.021667,7,0.001296,0.001283,0.001352
purpose,other,types,matrix,250,2,0.008,0.006667,2,0.00037,0.000508,0.000423
purpose,other,types,other,250,1,0.004,0.005,3,0.000556,0.000387,0.000484
purpose,other,types,pipeline,250,1,0.004,0.003333,1,0.000185,4.8e-05,4e-05
purpose,other,types,qualitative_grid,250,5,0.02,0.02,5,0.000926,0.001206,0.001171
purpose,other,types,scatter,250,2,0.008,0.008333,2,0.00037,0.00044,0.000485
purpose,other,types,screenshot,250,2,0.008,0.01,4,0.000741,0.000525,0.000656
purpose,other,types,table,250,20,0.08,0.078333,24,0.004444,0.005078,0.004843
purpose,qualitative_evidence,types,architecture,250,9,0.036,0.033333,9,0.001667,0.002451,0.002145
purpose,qualitative_evidence,types,area,250,16,0.064,0.066667,23,0.004259,0.005415,0.005705
purpose,qualitative_evidence,types,bar,250,35,0.14,0.14,40,0.007407,0.007811,0.007643
purpose,qualitative_evidence,types,box,250,5,0.02,0.021667,6,0.001111,0.001133,0.001177
purpose,qualitative_evidence,types,conceptual_diagram,250,65,0.26,0.253333,85,0.015741,0.018427,0.017751
purpose,qualitative_evidence,types,heatmap,250,52,0.208,0.211667,133,0.02463,0.027251,0.028003
purpose,qualitative_evidence,types,histogram,250,14,0.056,0.055,27,0.005,0.006661,0.006045
purpose,qualitative_evidence,types,image_montage,250,96,0.384,0.378333,452,0.083704,0.081322,0.07957
purpose,qualitative_evidence,types,line,250,79,0.316,0.316667,164,0.03037,0.046372,0.048494
purpose,qualitative_evidence,types,map,250,10,0.04,0.038333,19,0.003519,0.003323,0.0032
purpose,qualitative_evidence,types,matrix,250,32,0.128,0.135,63,0.011667,0.01476,0.016413
purpose,qualitative_evidence,types,network,250,10,0.04,0.038333,13,0.002407,0.003144,0.002885
purpose,qualitative_evidence,types,other,250,26,0.104,0.111667,57,0.010556,0.010529,0.010936
purpose,qualitative_evidence,types,pareto,250,2,0.008,0.01,2,0.00037,0.000135,0.000169
purpose,qualitative_evidence,types,pipeline,250,30,0.12,0.113333,37,0.006852,0.007527,0.006868
purpose,qualitative_evidence,types,qualitative_grid,250,142,0.568,0.57,585,0.108333,0.106538,0.105799
purpose,qualitative_evidence,types,scatter,250,49,0.196,0.198333,92,0.017037,0.020651,0.021278
purpose,qualitative_evidence,types,screenshot,250,38,0.152,0.145,85,0.015741,0.013888,0.013149
purpose,qualitative_evidence,types,table,250,60,0.24,0.231667,140,0.025926,0.025452,0.024584
purpose,qualitative_evidence,types,tree,250,1,0.004,0.003333,1,0.000185,0.00016,0.000133
purpose,qualitative_evidence,types,violin,250,3,0.012,0.011667,4,0.000741,0.000661,0.000649
purpose,reproduction,types,architecture,250,16,0.064,0.06,21,0.003889,0.004118,0.003694
purpose,reproduction,types,area,250,3,0.012,0.011667,7,0.001296,0.001331,0.001318
purpose,reproduction,types,bar,250,8,0.032,0.033333,9,0.001667,0.001972,0.001991
purpose,reproduction,types,box,250,2,0.008,0.01,2,0.00037,0.000521,0.000651
purpose,reproduction,types,conceptual_diagram,250,41,0.164,0.153333,63,0.011667,0.010825,0.009905
purpose,reproduction,types,heatmap,250,13,0.052,0.053333,19,0.003519,0.003215,0.003273
purpose,reproduction,types,histogram,250,5,0.02,0.018333,8,0.001481,0.002204,0.001956
purpose,reproduction,types,image_montage,250,26,0.104,0.103333,56,0.01037,0.008468,0.008134
purpose,reproduction,types,line,250,35,0.14,0.143333,69,0.012778,0.014106,0.014467
purpose,reproduction,types,map,250,2,0.008,0.008333,2,0.00037,0.000421,0.000462
purpose,reproduction,types,matrix,250,11,0.044,0.045,21,0.003889,0.003693,0.003819
purpose,reproduction,types,network,250,3,0.012,0.013333,5,0.000926,0.000964,0.001077
purpose,reproduction,types,other,250,17,0.068,0.071667,60,0.011111,0.008101,0.008966
purpose,reproduction,types,pareto,250,2,0.008,0.01,8,0.001481,0.00107,0.001338
purpose,reproduction,types,pipeline,250,30,0.12,0.111667,43,0.007963,0.007335,0.006636
purpose,reproduction,types,qualitative_grid,250,35,0.14,0.138333,74,0.013704,0.011213,0.010877
purpose,reproduction,types,scatter,250,13,0.052,0.053333,20,0.003704,0.004896,0.005128
purpose,reproduction,types,screenshot,250,36,0.144,0.138333,126,0.023333,0.016199,0.015182
purpose,reproduction,types,table,250,181,0.724,0.725,718,0.132963,0.123026,0.121059
purpose,reproduction,types,tree,250,3,0.012,0.011667,5,0.000926,0.00077,0.000703
purpose,robustness,types,architecture,250,1,0.004,0.003333,1,0.000185,0.000105,8.8e-05
purpose,robustness,types,area,250,33,0.132,0.131667,110,0.02037,0.01408,0.015057
purpose,robustness,types,bar,250,70,0.28,0.28,153,0.028333,0.025763,0.025492
purpose,robustness,types,box,250,17,0.068,0.066667,28,0.005185,0.005668,0.005954
purpose,robustness,types,conceptual_diagram,250,5,0.02,0.018333,5,0.000926,0.001287,0.001106
purpose,robustness,types,heatmap,250,47,0.188,0.188333,101,0.018704,0.017945,0.018228
purpose,robustness,types,histogram,250,18,0.072,0.071667,28,0.005185,0.005155,0.004971
purpose,robustness,types,image_montage,250,43,0.172,0.168333,115,0.021296,0.020696,0.020191
purpose,robustness,types,line,250,165,0.66,0.666667,800,0.148148,0.131654,0.136899
purpose,robustness,types,map,250,5,0.02,0.018333,10,0.001852,0.001432,0.00125
purpose,robustness,types,matrix,250,34,0.136,0.136667,68,0.012593,0.012087,0.012449
purpose,robustness,types,network,250,5,0.02,0.021667,5,0.000926,0.001003,0.001101
purpose,robustness,types,other,250,21,0.084,0.083333,43,0.007963,0.007831,0.008249
purpose,robustness,types,pareto,250,8,0.032,0.033333,31,0.005741,0.002486,0.002905
purpose,robustness,types,pipeline,250,1,0.004,0.003333,1,0.000185,0.000105,8.8e-05
purpose,robustness,types,qualitative_grid,250,58,0.232,0.23,149,0.027593,0.027711,0.028053
purpose,robustness,types,scatter,250,65,0.26,0.258333,148,0.027407,0.029115,0.029401
purpose,robustness,types,screenshot,250,2,0.008,0.006667,3,0.000556,0.000388,0.000323
purpose,robustness,types,table,250,188,0.752,0.743333,826,0.152963,0.153649,0.149699
purpose,robustness,types,violin,250,2,0.008,0.008333,2,0.00037,0.000308,0.000336
purpose,theory_mechanism,types,architecture,250,116,0.464,0.455,153,0.028333,0.033658,0.032878
purpose,theory_mechanism,types,area,250,10,0.04,0.038333,15,0.002778,0.003002,0.002902
purpose,theory_mechanism,types,bar,250,12,0.048,0.05,19,0.003519,0.002998,0.003142
purpose,theory_mechanism,types,box,250,4,0.016,0.015,5,0.000926,0.001002,0.001031
purpose,theory_mechanism,types,conceptual_diagram,250,185,0.74,0.741667,312,0.057778,0.073163,0.073667
