conference,module,metric,n_completed,weight_sum,weighted_mean
ICLR,theory,algorithms,18,19.939393937,0.0
ICLR,theory,displayed_equations,18,19.939393937,1.775075988
ICLR,theory,visual_objects,18,19.939393937,0.112462006
ICLR,theory,visual_objects_per_1000_words,9,9.969696969,0.348801335
ICLR,theory,equations_per_1000_words,9,9.969696969,6.634505083
ICLR,experimental_design,estimated_words,18,19.939393937,591.376899698
ICLR,experimental_design,main_word_share,18,19.939393937,0.102264683
ICLR,experimental_design,figures,18,19.939393937,0.275075988
ICLR,experimental_design,tables,18,19.939393937,0.281155015
ICLR,experimental_design,algorithms,18,19.939393937,0.0
ICLR,experimental_design,displayed_equations,18,19.939393937,0.275075988
ICLR,experimental_design,visual_objects,18,19.939393937,0.556231003
ICLR,experimental_design,visual_objects_per_1000_words,17,18.939393937,0.704803553
ICLR,experimental_design,equations_per_1000_words,17,18.939393937,0.436792174
ICLR,results,estimated_words,18,19.939393937,1162.90729483
ICLR,results,main_word_share,18,19.939393937,0.208195888
ICLR,results,figures,18,19.939393937,1.79331307
ICLR,results,tables,18,19.939393937,2.636778115
ICLR,results,algorithms,18,19.939393937,0.0
ICLR,results,displayed_equations,18,19.939393937,0.050151976
ICLR,results,visual_objects,18,19.939393937,4.430091185
ICLR,results,visual_objects_per_1000_words,18,19.939393937,4.031141953
ICLR,results,equations_per_1000_words,18,19.939393937,0.054453828
ICLR,ablation,estimated_words,18,19.939393937,384.019756836
ICLR,ablation,main_word_share,18,19.939393937,0.0734395
ICLR,ablation,figures,18,19.939393937,0.674772036
ICLR,ablation,tables,18,19.939393937,0.56231003
ICLR,ablation,algorithms,18,19.939393937,0.0
ICLR,ablation,displayed_equations,18,19.939393937,0.0
ICLR,ablation,visual_objects,18,19.939393937,1.237082067
ICLR,ablation,visual_objects_per_1000_words,16,17.818181816,4.076099928
ICLR,ablation,equations_per_1000_words,16,17.818181816,0.0
ICLR,conclusion,estimated_words,18,19.939393937,114.357142858
ICLR,conclusion,main_word_share,18,19.939393937,0.020757226
ICLR,conclusion,figures,18,19.939393937,0.0
ICLR,conclusion,tables,18,19.939393937,0.0
ICLR,conclusion,algorithms,18,19.939393937,0.0
ICLR,conclusion,displayed_equations,18,19.939393937,0.0
ICLR,conclusion,visual_objects,18,19.939393937,0.0
ICLR,conclusion,visual_objects_per_1000_words,17,18.818181816,0.0
ICLR,conclusion,equations_per_1000_words,17,18.818181816,0.0
ICLR,limitations,estimated_words,18,19.939393937,77.437689972
ICLR,limitations,main_word_share,18,19.939393937,0.011963374
ICLR,limitations,figures,18,19.939393937,0.0
ICLR,limitations,tables,18,19.939393937,0.0
ICLR,limitations,algorithms,18,19.939393937,0.0
ICLR,limitations,displayed_equations,18,19.939393937,0.0
ICLR,limitations,visual_objects,18,19.939393937,0.0
ICLR,limitations,visual_objects_per_1000_words,8,8.848484848,0.0
ICLR,limitations,equations_per_1000_words,8,8.848484848,0.0
ICLR,appendix,estimated_words,18,19.939393937,4575.486322241
ICLR,appendix,figures,18,19.939393937,4.186930091
ICLR,appendix,tables,18,19.939393937,4.612462006
ICLR,appendix,algorithms,18,19.939393937,0.112462006
ICLR,appendix,displayed_equations,18,19.939393937,6.624620061
ICLR,appendix,visual_objects,18,19.939393937,8.911854103
ICLR,appendix,visual_objects_per_1000_words,14,15.454545453,2.88308183
ICLR,appendix,equations_per_1000_words,14,15.454545453,1.865461576
ICLR,appendix,main_word_share,3,3.363636363,0.0
ICLR,other,estimated_words,18,19.939393937,784.986322191
ICLR,other,main_word_share,10,11.09090909,0.069878689
ICLR,other,figures,18,19.939393937,0.056231003
ICLR,other,tables,18,19.939393937,0.0
ICLR,other,algorithms,18,19.939393937,0.0
ICLR,other,displayed_equations,18,19.939393937,0.0
ICLR,other,visual_objects,18,19.939393937,0.056231003
ICLR,other,visual_objects_per_1000_words,17,18.818181816,0.044563441
ICLR,other,equations_per_1000_words,17,18.818181816,0.0
ICML,abstract,estimated_words,11,12.909090909,188.204225352
ICML,abstract,main_word_share,11,12.909090909,0.034107254
ICML,abstract,figures,11,12.909090909,0.187793427
ICML,abstract,tables,11,12.909090909,0.0
ICML,abstract,algorithms,11,12.909090909,0.0
ICML,abstract,displayed_equations,11,12.909090909,0.0
ICML,abstract,visual_objects,11,12.909090909,0.187793427
ICML,abstract,visual_objects_per_1000_words,11,12.909090909,0.850418415
ICML,abstract,equations_per_1000_words,11,12.909090909,0.0
ICML,introduction,estimated_words,11,12.909090909,934.544600939
ICML,introduction,main_word_share,11,12.909090909,0.163887023
ICML,introduction,figures,11,12.909090909,0.265258216
ICML,introduction,tables,11,12.909090909,0.0
ICML,introduction,algorithms,11,12.909090909,0.0
ICML,introduction,displayed_equations,11,12.909090909,0.154929577
ICML,introduction,visual_objects,11,12.909090909,0.265258216
ICML,introduction,visual_objects_per_1000_words,11,12.909090909,0.26438383
ICML,introduction,equations_per_1000_words,11,12.909090909,0.098056695
ICML,related_work,estimated_words,11,12.909090909,544.596244131
ICML,related_work,main_word_share,11,12.909090909,0.096718297
ICML,related_work,figures,11,12.909090909,0.0
ICML,related_work,tables,11,12.909090909,0.0
ICML,related_work,algorithms,11,12.909090909,0.0
ICML,related_work,displayed_equations,11,12.909090909,0.0
ICML,related_work,visual_objects,11,12.909090909,0.0
ICML,related_work,visual_objects_per_1000_words,11,12.909090909,0.0
ICML,related_work,equations_per_1000_words,11,12.909090909,0.0
ICML,method,estimated_words,11,12.909090909,1606.0
ICML,method,main_word_share,11,12.909090909,0.255241156
ICML,method,figures,11,12.909090909,1.877934272
ICML,method,tables,11,12.909090909,0.0
ICML,method,algorithms,11,12.909090909,0.248826291
ICML,method,displayed_equations,11,12.909090909,8.436619718
ICML,method,visual_objects,11,12.909090909,2.126760563
ICML,method,visual_objects_per_1000_words,11,12.909090909,1.305766942
ICML,method,equations_per_1000_words,11,12.909090909,5.457832965
ICML,theory,estimated_words,11,12.909090909,433.931924883
ICML,theory,main_word_share,11,12.909090909,0.070915493
ICML,theory,figures,11,12.909090909,0.795774648
ICML,theory,tables,11,12.909090909,0.093896714
ICML,theory,algorithms,11,12.909090909,0.077464789
ICML,theory,displayed_equations,11,12.909090909,1.370892019
ICML,theory,visual_objects,11,12.909090909,0.96713615
ICML,theory,visual_objects_per_1000_words,5,5.636363636,2.153404411
ICML,theory,equations_per_1000_words,5,5.636363636,4.196747307
ICML,experimental_design,estimated_words,11,12.909090909,615.936619718
ICML,experimental_design,main_word_share,11,12.909090909,0.108135736
ICML,experimental_design,figures,11,12.909090909,0.093896714
ICML,experimental_design,tables,11,12.909090909,0.093896714
ICML,experimental_design,algorithms,11,12.909090909,0.0
ICML,experimental_design,displayed_equations,11,12.909090909,0.093896714
ICML,experimental_design,visual_objects,11,12.909090909,0.187793427
ICML,experimental_design,visual_objects_per_1000_words,10,11.909090909,0.331017556
ICML,experimental_design,equations_per_1000_words,10,11.909090909,0.092528337
ICML,results,estimated_words,11,12.909090909,851.321596244
ICML,results,main_word_share,11,12.909090909,0.149664892
ICML,results,figures,11,12.909090909,1.983568075
ICML,results,tables,11,12.909090909,2.408450704
ICML,results,algorithms,11,12.909090909,0.0
ICML,results,displayed_equations,11,12.909090909,0.0
ICML,results,visual_objects,11,12.909090909,4.392018779
ICML,results,visual_objects_per_1000_words,10,11.909090909,5.26237942
ICML,results,equations_per_1000_words,10,11.909090909,0.0
ICML,ablation,estimated_words,11,12.909090909,439.530516432
ICML,ablation,main_word_share,11,12.909090909,0.067211453
ICML,ablation,figures,11,12.909090909,0.938967136
ICML,ablation,tables,11,12.909090909,1.502347418
ICML,ablation,algorithms,11,12.909090909,0.0
ICML,ablation,displayed_equations,11,12.909090909,0.0
ICML,ablation,visual_objects,11,12.909090909,2.441314554
ICML,ablation,visual_objects_per_1000_words,8,9.696969697,4.862262823
ICML,ablation,equations_per_1000_words,8,9.696969697,0.0
ICML,conclusion,estimated_words,11,12.909090909,152.622065728
ICML,conclusion,main_word_share,11,12.909090909,0.025613163
ICML,conclusion,figures,11,12.909090909,0.0
ICML,conclusion,tables,11,12.909090909,0.0
ICML,conclusion,algorithms,11,12.909090909,0.0
ICML,conclusion,displayed_equations,11,12.909090909,0.0
ICML,conclusion,visual_objects,11,12.909090909,0.0
ICML,conclusion,visual_objects_per_1000_words,10,11.696969697,0.0
ICML,conclusion,equations_per_1000_words,10,11.696969697,0.0
ICML,limitations,estimated_words,11,12.909090909,124.788732394
ICML,limitations,main_word_share,9,10.484848485,0.014827623
ICML,limitations,figures,11,12.909090909,0.093896714
ICML,limitations,tables,11,12.909090909,0.0
ICML,limitations,algorithms,11,12.909090909,0.0
ICML,limitations,displayed_equations,11,12.909090909,0.0
ICML,limitations,visual_objects,11,12.909090909,0.093896714
ICML,limitations,visual_objects_per_1000_words,8,9.696969697,0.416666667
ICML,limitations,equations_per_1000_words,8,9.696969697,0.0
ICML,appendix,estimated_words,11,12.909090909,3021.377934272
ICML,appendix,figures,11,12.909090909,3.518779343
ICML,appendix,tables,11,12.909090909,2.938967136
ICML,appendix,algorithms,11,12.909090909,0.281690141
ICML,appendix,displayed_equations,11,12.909090909,3.267605634
ICML,appendix,visual_objects,11,12.909090909,6.73943662
ICML,appendix,visual_objects_per_1000_words,11,12.909090909,4.243334019
ICML,appendix,equations_per_1000_words,11,12.909090909,1.760030923
ICML,other,estimated_words,11,12.909090909,1163.751173709
ICML,other,main_word_share,4,4.848484848,0.042975
ICML,other,figures,11,12.909090909,0.0
ICML,other,tables,11,12.909090909,0.0
ICML,other,algorithms,11,12.909090909,0.0
ICML,other,displayed_equations,11,12.909090909,0.0
ICML,other,visual_objects,11,12.909090909,0.0
ICML,other,visual_objects_per_1000_words,11,12.909090909,0.0
ICML,other,equations_per_1000_words,11,12.909090909,0.0
