paper_id,conference,analysis_stratum,module,status,estimated_words,main_word_share,figures,tables,algorithms,displayed_equations
iclr-2026-935af26c0a67,ICLR,oral,limitations,observed,206,0.0313,0,0,0,0
iclr-2026-935af26c0a67,ICLR,oral,other,observed,300,0.0456,0,0,0,0
iclr-2026-935af26c0a67,ICLR,oral,appendix,observed,9875,,33,11,0,0
iclr-2026-a6ddc629568b,ICLR,outstanding,abstract,observed,187,0.029,1,0,0,0
iclr-2026-a6ddc629568b,ICLR,outstanding,introduction,observed,670,0.103,0,0,0,0
iclr-2026-a6ddc629568b,ICLR,outstanding,related_work,observed,460,0.071,0,0,0,0
iclr-2026-a6ddc629568b,ICLR,outstanding,method,observed,800,0.123,2,0,0,0
iclr-2026-a6ddc629568b,ICLR,outstanding,theory,not_present,0,0.0,0,0,0,0
iclr-2026-a6ddc629568b,ICLR,outstanding,experimental_design,observed,1490,0.229,1,0,0,1
iclr-2026-a6ddc629568b,ICLR,outstanding,results,observed,930,0.143,1,1,0,0
iclr-2026-a6ddc629568b,ICLR,outstanding,ablation,observed,330,0.051,0,0,0,0
iclr-2026-a6ddc629568b,ICLR,outstanding,conclusion,observed,100,0.015,0,0,0,0
iclr-2026-a6ddc629568b,ICLR,outstanding,limitations,observed,600,0.092,0,0,0,0
iclr-2026-a6ddc629568b,ICLR,outstanding,other,observed,940,0.144,0,0,0,0
iclr-2026-a6ddc629568b,ICLR,outstanding,appendix,observed,13830,,5,9,0,7
iclr-2026-88c6c50ec3eb,ICLR,outstanding,abstract,observed,162,0.027,0,0,0,0
iclr-2026-88c6c50ec3eb,ICLR,outstanding,introduction,observed,825,0.137,0,0,0,0
iclr-2026-88c6c50ec3eb,ICLR,outstanding,related_work,observed,242,0.04,0,0,0,0
iclr-2026-88c6c50ec3eb,ICLR,outstanding,method,observed,1818,0.303,0,0,0,11
iclr-2026-88c6c50ec3eb,ICLR,outstanding,theory,observed,1809,0.301,0,0,0,4
iclr-2026-88c6c50ec3eb,ICLR,outstanding,experimental_design,not_applicable,0,0.0,0,0,0,0
iclr-2026-88c6c50ec3eb,ICLR,outstanding,results,observed,921,0.153,0,0,0,1
iclr-2026-88c6c50ec3eb,ICLR,outstanding,ablation,not_applicable,0,0.0,0,0,0,0
iclr-2026-88c6c50ec3eb,ICLR,outstanding,conclusion,observed,208,0.035,0,0,0,0
iclr-2026-88c6c50ec3eb,ICLR,outstanding,limitations,not_present,0,0.0,0,0,0,0
iclr-2026-88c6c50ec3eb,ICLR,outstanding,appendix,observed,3935,,0,0,0,41
iclr-2026-88c6c50ec3eb,ICLR,outstanding,other,observed,993,,0,0,0,0
