analysis_view,conference,analysis_stratum,metric,n,mean,trimmed_mean_20,median,q1,q3,min,max,design_weighted_mean,status
foundation_200,ICLR,all,limitations_recorded,100,7.37,7.266667,7.0,6.0,8.0,4.0,14.0,7.334639213,complete
foundation_200,ICLR,all,main_pages,100,9.9918,10.0,10.0,10.0,10.0,9.0,11.0,9.986058673,complete
foundation_200,ICLR,all,tables_appendix,100,7.13,4.566667,4.0,1.0,9.25,0.0,68.0,7.159712099,complete
foundation_200,ICLR,all,tables_main,100,3.65,3.55,4.0,2.0,5.0,0.0,11.0,3.685586735,complete
foundation_200,ICLR,oral,abstract_has_limitation,98,0.357143,0.266667,0.0,0.0,1.0,0.0,1.0,0.357142857,complete
foundation_200,ICLR,oral,abstract_has_qualitative_result,98,0.938776,1.0,1.0,1.0,1.0,0.0,1.0,0.93877551,complete
foundation_200,ICLR,oral,abstract_has_quantitative_result,98,0.642857,0.733333,1.0,0.0,1.0,0.0,1.0,0.642857143,complete
foundation_200,ICLR,oral,abstract_has_theory,98,0.5,0.5,0.5,0.0,1.0,0.0,1.0,0.5,complete
foundation_200,ICLR,oral,abstract_sentences,98,8.27551,8.216667,8.0,7.0,10.0,4.0,13.0,8.275510204,complete
foundation_200,ICLR,oral,algorithms_appendix,98,0.642857,0.266667,0.0,0.0,1.0,0.0,5.0,0.642857143,complete
foundation_200,ICLR,oral,algorithms_main,98,0.336735,0.083333,0.0,0.0,0.0,0.0,4.0,0.336734694,complete
foundation_200,ICLR,oral,appendix_main_text_calls,98,11.22449,10.966667,11.0,8.0,14.0,0.0,25.0,11.224489796,complete
foundation_200,ICLR,oral,appendix_page_ratio,98,1.820975,1.633586,1.6,1.0,2.3,0.0,5.7,1.82097487,complete
foundation_200,ICLR,oral,appendix_pages,98,18.143469,16.3,16.0,10.0,23.0,0.0,57.0,18.143469388,complete
foundation_200,ICLR,oral,claim_closure_rate,98,0.27487,0.26315,0.25,0.142857,0.4,0.0,0.7,0.274869915,complete
foundation_200,ICLR,oral,displayed_equations_appendix,98,17.693878,8.283333,5.0,0.0,23.75,0.0,199.0,17.693877551,complete
foundation_200,ICLR,oral,displayed_equations_main,98,9.357143,7.883333,7.0,4.0,13.0,0.0,60.0,9.357142857,complete
foundation_200,ICLR,oral,figures_appendix,98,6.530612,4.883333,5.0,2.0,9.0,0.0,39.0,6.530612245,complete
foundation_200,ICLR,oral,figures_main,98,5.183673,4.9,5.0,3.0,6.0,1.0,14.0,5.183673469,complete
foundation_200,ICLR,oral,limitations_recorded,98,7.306122,7.25,7.0,6.0,8.0,4.0,13.0,7.306122449,complete
foundation_200,ICLR,oral,main_pages,98,9.981429,10.0,10.0,10.0,10.0,9.0,11.0,9.981428571,complete
foundation_200,ICLR,oral,tables_appendix,98,7.183673,4.6,4.0,1.0,9.75,0.0,68.0,7.183673469,complete
foundation_200,ICLR,oral,tables_main,98,3.714286,3.633333,4.0,2.0,5.0,0.0,11.0,3.714285714,complete
foundation_200,ICLR,outstanding,abstract_has_limitation,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,complete
foundation_200,ICLR,outstanding,abstract_has_qualitative_result,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,complete
foundation_200,ICLR,outstanding,abstract_has_quantitative_result,2,0.5,0.5,0.5,0.25,0.75,0.0,1.0,0.5,complete
foundation_200,ICLR,outstanding,abstract_has_theory,2,0.5,0.5,0.5,0.25,0.75,0.0,1.0,0.5,complete
foundation_200,ICLR,outstanding,abstract_sentences,2,7.0,7.0,7.0,6.5,7.5,6.0,8.0,7.0,complete
foundation_200,ICLR,outstanding,algorithms_appendix,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,complete
foundation_200,ICLR,outstanding,algorithms_main,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,complete
foundation_200,ICLR,outstanding,appendix_main_text_calls,2,13.0,13.0,13.0,10.0,16.0,7.0,19.0,13.0,complete
foundation_200,ICLR,outstanding,appendix_page_ratio,2,1.536364,1.536364,1.536364,1.168182,1.904545,0.8,2.272727,1.536363636,complete
foundation_200,ICLR,outstanding,appendix_pages,2,16.5,16.5,16.5,12.25,20.75,8.0,25.0,16.5,complete
foundation_200,ICLR,outstanding,claim_closure_rate,2,0.5625,0.5625,0.5625,0.46875,0.65625,0.375,0.75,0.5625,complete
foundation_200,ICLR,outstanding,displayed_equations_appendix,2,24.0,24.0,24.0,15.5,32.5,7.0,41.0,24.0,complete
foundation_200,ICLR,outstanding,displayed_equations_main,2,8.5,8.5,8.5,4.75,12.25,1.0,16.0,8.5,complete
foundation_200,ICLR,outstanding,figures_appendix,2,2.5,2.5,2.5,1.25,3.75,0.0,5.0,2.5,complete
foundation_200,ICLR,outstanding,figures_main,2,2.5,2.5,2.5,1.25,3.75,0.0,5.0,2.5,complete
foundation_200,ICLR,outstanding,limitations_recorded,2,10.5,10.5,10.5,8.75,12.25,7.0,14.0,10.5,complete
foundation_200,ICLR,outstanding,main_pages,2,10.5,10.5,10.5,10.25,10.75,10.0,11.0,10.5,complete
foundation_200,ICLR,outstanding,tables_appendix,2,4.5,4.5,4.5,2.25,6.75,0.0,9.0,4.5,complete
foundation_200,ICLR,outstanding,tables_main,2,0.5,0.5,0.5,0.25,0.75,0.0,1.0,0.5,complete
foundation_200,ICML,all,abstract_has_limitation,100,0.22,0.033333,0.0,0.0,0.0,0.0,1.0,0.219938335,complete
foundation_200,ICML,all,abstract_has_qualitative_result,100,0.88,1.0,1.0,1.0,1.0,0.0,1.0,0.886702883,complete
foundation_200,ICML,all,abstract_has_quantitative_result,100,0.45,0.416667,0.0,0.0,1.0,0.0,1.0,0.437184946,complete
foundation_200,ICML,all,abstract_has_theory,100,0.53,0.55,1.0,0.0,1.0,0.0,1.0,0.530465424,complete
foundation_200,ICML,all,abstract_sentences,100,7.52,7.383333,7.0,7.0,8.0,4.0,13.0,7.535016884,complete
foundation_200,ICML,all,algorithms_appendix,100,0.67,0.25,0.0,0.0,1.0,0.0,7.0,0.693241325,complete
foundation_200,ICML,all,algorithms_main,100,0.53,0.216667,0.0,0.0,1.0,0.0,4.0,0.489257574,complete
foundation_200,ICML,all,appendix_main_text_calls,100,9.79,9.533333,9.0,7.0,12.0,0.0,20.0,9.721137376,complete
foundation_200,ICML,all,appendix_page_ratio,100,1.829481,1.469407,1.316667,0.897222,2.308333,0.0,7.625,1.86838263,complete
foundation_200,ICML,all,appendix_pages,100,17.63,14.166667,13.0,9.0,23.0,0.0,65.0,17.870209954,complete
foundation_200,ICML,all,claim_closure_rate,100,0.292081,0.275032,0.285714,0.166667,0.4,0.0,0.833333,0.281234535,complete
foundation_200,ICML,all,displayed_equations_appendix,100,26.1,12.433333,9.5,1.0,29.25,0.0,225.0,24.340331819,complete
foundation_200,ICML,all,displayed_equations_main,100,16.53,12.416667,12.0,6.0,19.0,0.0,288.0,17.138795086,complete
foundation_200,ICML,all,figures_appendix,100,7.89,4.583333,4.0,1.0,8.0,0.0,130.0,7.492389762,complete
foundation_200,ICML,all,figures_main,100,7.31,5.7,6.0,4.0,8.0,0.0,132.0,6.668428523,complete
foundation_200,ICML,all,limitations_recorded,100,6.65,6.683333,7.0,6.0,8.0,3.0,11.0,6.690060197,complete
foundation_200,ICML,all,main_pages,100,10.0825,9.2375,9.0,9.0,10.0,8.0,40.0,9.823912299,complete
foundation_200,ICML,all,tables_appendix,100,5.07,3.566667,3.0,1.0,6.25,0.0,24.0,5.036264866,complete
foundation_200,ICML,all,tables_main,100,3.35,3.05,3.0,1.0,4.0,0.0,13.0,3.3050947,complete
foundation_200,ICML,oral,abstract_has_limitation,49,0.204082,0.032258,0.0,0.0,0.0,0.0,1.0,0.204081633,complete
foundation_200,ICML,oral,abstract_has_qualitative_result,49,0.857143,1.0,1.0,1.0,1.0,0.0,1.0,0.857142857,complete
foundation_200,ICML,oral,abstract_has_quantitative_result,49,0.44898,0.419355,0.0,0.0,1.0,0.0,1.0,0.448979592,complete
foundation_200,ICML,oral,abstract_has_theory,49,0.530612,0.548387,1.0,0.0,1.0,0.0,1.0,0.530612245,complete
foundation_200,ICML,oral,abstract_sentences,49,7.571429,7.387097,7.0,7.0,9.0,4.0,13.0,7.571428571,complete
foundation_200,ICML,oral,algorithms_appendix,49,0.653061,0.290323,0.0,0.0,1.0,0.0,6.0,0.653061224,complete
foundation_200,ICML,oral,algorithms_main,49,0.571429,0.225806,0.0,0.0,1.0,0.0,4.0,0.571428571,complete
foundation_200,ICML,oral,appendix_main_text_calls,49,10.142857,9.774194,9.0,7.0,14.0,1.0,19.0,10.142857143,complete
foundation_200,ICML,oral,appendix_page_ratio,49,1.761773,1.452989,1.25,0.888889,2.222222,0.1,6.888889,1.761772601,complete
foundation_200,ICML,oral,appendix_pages,49,17.122449,14.387097,14.0,9.0,23.0,4.0,62.0,17.12244898,complete
foundation_200,ICML,oral,claim_closure_rate,49,0.316039,0.306868,0.333333,0.166667,0.428571,0.0,0.833333,0.316039063,complete
foundation_200,ICML,oral,displayed_equations_appendix,49,31.102041,14.193548,9.0,1.0,33.0,0.0,225.0,31.102040816,complete
foundation_200,ICML,oral,displayed_equations_main,49,15.22449,13.935484,12.0,6.0,22.0,0.0,59.0,15.224489796,complete
foundation_200,ICML,oral,figures_appendix,49,9.204082,5.354839,5.0,2.0,9.0,0.0,130.0,9.204081633,complete
foundation_200,ICML,oral,figures_main,49,9.0,5.967742,6.0,4.0,8.0,2.0,132.0,9.0,complete
foundation_200,ICML,oral,limitations_recorded,49,6.591837,6.580645,6.0,6.0,8.0,4.0,10.0,6.591836735,complete
foundation_200,ICML,oral,main_pages,49,10.617347,9.330645,9.0,9.0,10.0,8.0,40.0,10.617346939,complete
foundation_200,ICML,oral,tables_appendix,49,5.326531,3.870968,4.0,1.0,7.0,0.0,24.0,5.326530612,complete
foundation_200,ICML,oral,tables_main,49,3.591837,3.193548,3.0,1.0,5.0,0.0,13.0,3.591836735,complete
foundation_200,ICML,outstanding,abstract_has_limitation,2,0.5,0.5,0.5,0.25,0.75,0.0,1.0,0.5,complete
foundation_200,ICML,outstanding,abstract_has_qualitative_result,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,complete
foundation_200,ICML,outstanding,abstract_has_quantitative_result,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,complete
foundation_200,ICML,outstanding,abstract_has_theory,2,0.5,0.5,0.5,0.25,0.75,0.0,1.0,0.5,complete
foundation_200,ICML,outstanding,abstract_sentences,2,6.0,6.0,6.0,5.5,6.5,5.0,7.0,6.0,complete
foundation_200,ICML,outstanding,algorithms_appendix,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,complete
foundation_200,ICML,outstanding,algorithms_main,2,1.5,1.5,1.5,0.75,2.25,0.0,3.0,1.5,complete
foundation_200,ICML,outstanding,appendix_main_text_calls,2,6.5,6.5,6.5,6.25,6.75,6.0,7.0,6.5,complete
foundation_200,ICML,outstanding,appendix_page_ratio,2,1.393939,1.393939,1.393939,0.924242,1.863636,0.454545,2.333333,1.393939394,complete
foundation_200,ICML,outstanding,appendix_pages,2,16.5,16.5,16.5,10.75,22.25,5.0,28.0,16.5,complete
foundation_200,ICML,outstanding,claim_closure_rate,2,0.325,0.325,0.325,0.2875,0.3625,0.25,0.4,0.325,complete
foundation_200,ICML,outstanding,displayed_equations_appendix,2,12.0,12.0,12.0,6.5,17.5,1.0,23.0,12.0,complete
foundation_200,ICML,outstanding,displayed_equations_main,2,14.0,14.0,14.0,11.0,17.0,8.0,20.0,14.0,complete
foundation_200,ICML,outstanding,figures_appendix,2,1.5,1.5,1.5,0.75,2.25,0.0,3.0,1.5,complete
foundation_200,ICML,outstanding,figures_main,2,4.5,4.5,4.5,2.25,6.75,0.0,9.0,4.5,complete
foundation_200,ICML,outstanding,limitations_recorded,2,6.0,6.0,6.0,5.5,6.5,5.0,7.0,6.0,complete
foundation_200,ICML,outstanding,main_pages,2,11.5,11.5,11.5,11.25,11.75,11.0,12.0,11.5,complete
foundation_200,ICML,outstanding,tables_appendix,2,2.0,2.0,2.0,1.0,3.0,0.0,4.0,2.0,complete
foundation_200,ICML,outstanding,tables_main,2,1.0,1.0,1.0,0.5,1.5,0.0,2.0,1.0,complete
foundation_200,ICML,spotlight,abstract_has_limitation,49,0.22449,0.064516,0.0,0.0,0.0,0.0,1.0,0.224489796,complete
foundation_200,ICML,spotlight,abstract_has_qualitative_result,49,0.897959,1.0,1.0,1.0,1.0,0.0,1.0,0.897959184,complete
foundation_200,ICML,spotlight,abstract_has_quantitative_result,49,0.428571,0.387097,0.0,0.0,1.0,0.0,1.0,0.428571429,complete
foundation_200,ICML,spotlight,abstract_has_theory,49,0.530612,0.548387,1.0,0.0,1.0,0.0,1.0,0.530612245,complete
foundation_200,ICML,spotlight,abstract_sentences,49,7.530612,7.451613,7.0,7.0,8.0,5.0,13.0,7.530612245,complete
foundation_200,ICML,spotlight,algorithms_appendix,49,0.714286,0.258065,0.0,0.0,1.0,0.0,7.0,0.714285714,complete
foundation_200,ICML,spotlight,algorithms_main,49,0.44898,0.225806,0.0,0.0,1.0,0.0,3.0,0.448979592,complete
foundation_200,ICML,spotlight,appendix_main_text_calls,49,9.571429,9.580645,10.0,7.0,12.0,0.0,20.0,9.571428571,complete
foundation_200,ICML,spotlight,appendix_page_ratio,49,1.914966,1.509946,1.333333,1.0,2.3,0.0,7.625,1.914965986,complete
foundation_200,ICML,spotlight,appendix_pages,49,18.183673,14.290323,13.0,10.0,21.0,0.0,65.0,18.183673469,complete
foundation_200,ICML,spotlight,claim_closure_rate,49,0.26678,0.249953,0.25,0.166667,0.363636,0.0,0.666667,0.266780045,complete
foundation_200,ICML,spotlight,displayed_equations_appendix,49,21.673469,12.032258,10.0,2.0,24.0,0.0,125.0,21.673469388,complete
foundation_200,ICML,spotlight,displayed_equations_main,49,17.938776,11.258065,12.0,6.0,17.0,0.0,288.0,17.93877551,complete
foundation_200,ICML,spotlight,figures_appendix,49,6.836735,4.16129,4.0,1.0,8.0,0.0,76.0,6.836734694,complete
foundation_200,ICML,spotlight,figures_main,49,5.734694,5.516129,5.0,4.0,8.0,0.0,17.0,5.734693878,complete
foundation_200,ICML,spotlight,limitations_recorded,49,6.734694,6.806452,7.0,6.0,8.0,3.0,11.0,6.734693878,complete
foundation_200,ICML,spotlight,main_pages,49,9.489796,9.16129,9.0,9.0,10.0,8.0,20.0,9.489795918,complete
foundation_200,ICML,spotlight,tables_appendix,49,4.938776,3.483871,3.0,1.0,6.0,0.0,24.0,4.93877551,complete
foundation_200,ICML,spotlight,tables_main,49,3.204082,3.032258,3.0,1.0,4.0,0.0,10.0,3.204081633,complete
replication_200,ICLR,all,abstract_has_limitation,11,0.363636,0.285714,0.0,0.0,1.0,0.0,1.0,0.363636364,interim
replication_200,ICLR,all,abstract_has_qualitative_result,11,0.909091,1.0,1.0,1.0,1.0,0.0,1.0,0.909090909,interim
replication_200,ICLR,all,abstract_has_quantitative_result,11,0.363636,0.285714,0.0,0.0,1.0,0.0,1.0,0.363636364,interim
replication_200,ICLR,all,abstract_has_theory,11,0.363636,0.285714,0.0,0.0,1.0,0.0,1.0,0.363636364,interim
replication_200,ICLR,all,abstract_sentences,11,8.363636,8.285714,9.0,6.5,9.5,6.0,11.0,8.363636364,interim
replication_200,ICLR,all,algorithms_appendix,11,0.181818,0.0,0.0,0.0,0.0,0.0,1.0,0.181818182,interim
replication_200,ICLR,all,algorithms_main,11,0.272727,0.0,0.0,0.0,0.0,0.0,2.0,0.272727273,interim
replication_200,ICLR,all,appendix_main_text_calls,11,9.454545,8.142857,11.0,3.0,12.0,0.0,24.0,9.454545455,interim
replication_200,ICLR,all,appendix_page_ratio,11,1.033709,0.844444,1.1,0.05,1.7,0.0,2.818182,1.033709306,interim
replication_200,ICLR,all,appendix_pages,11,10.636364,8.285714,10.0,0.5,17.0,0.0,31.0,10.636363636,interim
replication_200,ICLR,all,claim_closure_rate,11,0.25305,0.258503,0.3,0.171429,0.333333,0.0,0.545455,0.25304998,interim
replication_200,ICLR,all,displayed_equations_appendix,11,6.363636,3.142857,0.0,0.0,11.0,0.0,33.0,6.363636364,interim
replication_200,ICLR,all,displayed_equations_main,11,7.181818,5.857143,5.0,3.0,9.5,0.0,26.0,7.181818182,interim
replication_200,ICLR,all,figures_appendix,11,4.727273,3.285714,2.0,0.0,9.0,0.0,15.0,4.727272727,interim
replication_200,ICLR,all,figures_main,11,5.636364,5.857143,5.0,4.0,8.0,0.0,9.0,5.636363636,interim
replication_200,ICLR,all,limitations_recorded,11,7.909091,7.857143,8.0,6.0,10.0,5.0,11.0,7.909090909,interim
replication_200,ICLR,all,main_pages,11,10.054545,10.0,10.0,10.0,10.0,9.0,11.0,10.054545455,interim
replication_200,ICLR,all,tables_appendix,11,4.545455,3.142857,3.0,0.5,6.5,0.0,17.0,4.545454545,interim
replication_200,ICLR,all,tables_main,11,3.363636,3.428571,4.0,2.0,4.5,0.0,6.0,3.363636364,interim
replication_200,ICLR,oral,abstract_has_limitation,11,0.363636,0.285714,0.0,0.0,1.0,0.0,1.0,0.363636364,interim
replication_200,ICLR,oral,abstract_has_qualitative_result,11,0.909091,1.0,1.0,1.0,1.0,0.0,1.0,0.909090909,interim
replication_200,ICLR,oral,abstract_has_quantitative_result,11,0.363636,0.285714,0.0,0.0,1.0,0.0,1.0,0.363636364,interim
replication_200,ICLR,oral,abstract_has_theory,11,0.363636,0.285714,0.0,0.0,1.0,0.0,1.0,0.363636364,interim
replication_200,ICLR,oral,abstract_sentences,11,8.363636,8.285714,9.0,6.5,9.5,6.0,11.0,8.363636364,interim
replication_200,ICLR,oral,algorithms_appendix,11,0.181818,0.0,0.0,0.0,0.0,0.0,1.0,0.181818182,interim
replication_200,ICLR,oral,algorithms_main,11,0.272727,0.0,0.0,0.0,0.0,0.0,2.0,0.272727273,interim
replication_200,ICLR,oral,appendix_main_text_calls,11,9.454545,8.142857,11.0,3.0,12.0,0.0,24.0,9.454545455,interim
replication_200,ICLR,oral,appendix_page_ratio,11,1.033709,0.844444,1.1,0.05,1.7,0.0,2.818182,1.033709306,interim
replication_200,ICLR,oral,appendix_pages,11,10.636364,8.285714,10.0,0.5,17.0,0.0,31.0,10.636363636,interim
replication_200,ICLR,oral,claim_closure_rate,11,0.25305,0.258503,0.3,0.171429,0.333333,0.0,0.545455,0.25304998,interim
replication_200,ICLR,oral,displayed_equations_appendix,11,6.363636,3.142857,0.0,0.0,11.0,0.0,33.0,6.363636364,interim
replication_200,ICLR,oral,displayed_equations_main,11,7.181818,5.857143,5.0,3.0,9.5,0.0,26.0,7.181818182,interim
replication_200,ICLR,oral,figures_appendix,11,4.727273,3.285714,2.0,0.0,9.0,0.0,15.0,4.727272727,interim
replication_200,ICLR,oral,figures_main,11,5.636364,5.857143,5.0,4.0,8.0,0.0,9.0,5.636363636,interim
replication_200,ICLR,oral,limitations_recorded,11,7.909091,7.857143,8.0,6.0,10.0,5.0,11.0,7.909090909,interim
replication_200,ICLR,oral,main_pages,11,10.054545,10.0,10.0,10.0,10.0,9.0,11.0,10.054545455,interim
replication_200,ICLR,oral,tables_appendix,11,4.545455,3.142857,3.0,0.5,6.5,0.0,17.0,4.545454545,interim
replication_200,ICLR,oral,tables_main,11,3.363636,3.428571,4.0,2.0,4.5,0.0,6.0,3.363636364,interim
combined_400,ICLR,all,abstract_has_limitation,111,0.351351,0.253731,0.0,0.0,1.0,0.0,1.0,0.352037082,interim
combined_400,ICLR,all,abstract_has_qualitative_result,111,0.936937,1.0,1.0,1.0,1.0,0.0,1.0,0.936813857,interim
combined_400,ICLR,all,abstract_has_quantitative_result,111,0.612613,0.686567,1.0,0.0,1.0,0.0,1.0,0.612832398,interim
combined_400,ICLR,all,abstract_has_theory,111,0.486486,0.477612,0.0,0.0,1.0,0.0,1.0,0.486460112,interim
combined_400,ICLR,all,abstract_sentences,111,8.261261,8.208955,8.0,7.0,10.0,4.0,13.0,8.263722859,interim
combined_400,ICLR,all,algorithms_appendix,111,0.585586,0.223881,0.0,0.0,1.0,0.0,5.0,0.58672847,interim
combined_400,ICLR,all,algorithms_main,111,0.324324,0.059701,0.0,0.0,0.0,0.0,4.0,0.324957307,interim
combined_400,ICLR,all,appendix_main_text_calls,111,11.081081,10.80597,11.0,8.0,14.0,0.0,25.0,11.077335936,interim
combined_400,ICLR,all,appendix_page_ratio,111,1.737829,1.572246,1.5,0.859091,2.3,0.0,5.7,1.738222632,interim
combined_400,ICLR,all,appendix_pages,111,17.36991,15.716418,15.0,9.0,23.0,0.0,57.0,17.371607709,interim
combined_400,ICLR,all,claim_closure_rate,111,0.27789,0.266396,0.285714,0.142857,0.4,0.0,0.75,0.277334631,interim
combined_400,ICLR,all,displayed_equations_appendix,111,16.684685,7.61194,5.0,0.0,23.0,0.0,199.0,16.670407416,interim
combined_400,ICLR,all,displayed_equations_main,111,9.126126,7.626866,7.0,3.0,12.5,0.0,60.0,9.127348134,interim
combined_400,ICLR,all,figures_appendix,111,6.279279,4.656716,4.0,1.0,9.0,0.0,39.0,6.286655282,interim
combined_400,ICLR,all,figures_main,111,5.18018,4.940299,5.0,3.0,6.5,0.0,14.0,5.185411076,interim
combined_400,ICLR,all,limitations_recorded,111,7.423423,7.283582,7.0,6.0,8.0,4.0,14.0,7.417418883,interim
combined_400,ICLR,all,main_pages,111,9.998018,10.0,10.0,10.0,10.0,9.0,11.0,9.997038302,interim
combined_400,ICLR,all,tables_appendix,111,6.873874,4.41791,4.0,1.0,9.0,0.0,68.0,6.878506953,interim
combined_400,ICLR,all,tables_main,111,3.621622,3.537313,4.0,2.0,5.0,0.0,11.0,3.627714077,interim
combined_400,ICLR,oral,abstract_has_limitation,109,0.357798,0.268657,0.0,0.0,1.0,0.0,1.0,0.357798165,interim
combined_400,ICLR,oral,abstract_has_qualitative_result,109,0.93578,1.0,1.0,1.0,1.0,0.0,1.0,0.935779817,interim
combined_400,ICLR,oral,abstract_has_quantitative_result,109,0.614679,0.686567,1.0,0.0,1.0,0.0,1.0,0.614678899,interim
combined_400,ICLR,oral,abstract_has_theory,109,0.486239,0.477612,0.0,0.0,1.0,0.0,1.0,0.486238532,interim
combined_400,ICLR,oral,abstract_sentences,109,8.284404,8.238806,8.0,7.0,10.0,4.0,13.0,8.28440367,interim
combined_400,ICLR,oral,algorithms_appendix,109,0.59633,0.238806,0.0,0.0,1.0,0.0,5.0,0.596330275,interim
combined_400,ICLR,oral,algorithms_main,109,0.330275,0.074627,0.0,0.0,0.0,0.0,4.0,0.330275229,interim
combined_400,ICLR,oral,appendix_main_text_calls,109,11.045872,10.791045,11.0,8.0,14.0,0.0,25.0,11.04587156,interim
combined_400,ICLR,oral,appendix_page_ratio,109,1.741526,1.577131,1.5,0.9,2.3,0.0,5.7,1.741526052,interim
combined_400,ICLR,oral,appendix_pages,109,17.385872,15.746269,15.0,9.0,23.0,0.0,57.0,17.38587156,interim
combined_400,ICLR,oral,claim_closure_rate,109,0.272668,0.262665,0.25,0.142857,0.4,0.0,0.7,0.272667903,interim
combined_400,ICLR,oral,displayed_equations_appendix,109,16.550459,7.507463,4.0,0.0,23.0,0.0,199.0,16.550458716,interim
combined_400,ICLR,oral,displayed_equations_main,109,9.137615,7.626866,7.0,3.0,12.0,0.0,60.0,9.137614679,interim
combined_400,ICLR,oral,figures_appendix,109,6.348624,4.731343,4.0,1.0,9.0,0.0,39.0,6.348623853,interim
combined_400,ICLR,oral,figures_main,109,5.229358,4.985075,5.0,3.0,7.0,0.0,14.0,5.229357798,interim
combined_400,ICLR,oral,limitations_recorded,109,7.366972,7.268657,7.0,6.0,8.0,4.0,13.0,7.366972477,interim
combined_400,ICLR,oral,main_pages,109,9.988807,10.0,10.0,10.0,10.0,9.0,11.0,9.988807339,interim
combined_400,ICLR,oral,tables_appendix,109,6.917431,4.447761,4.0,1.0,9.0,0.0,68.0,6.917431193,interim
combined_400,ICLR,oral,tables_main,109,3.678899,3.61194,4.0,2.0,5.0,0.0,11.0,3.678899083,interim
combined_400,ICLR,outstanding,abstract_has_limitation,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,interim
combined_400,ICLR,outstanding,abstract_has_qualitative_result,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,interim
combined_400,ICLR,outstanding,abstract_has_quantitative_result,2,0.5,0.5,0.5,0.25,0.75,0.0,1.0,0.5,interim
combined_400,ICLR,outstanding,abstract_has_theory,2,0.5,0.5,0.5,0.25,0.75,0.0,1.0,0.5,interim
combined_400,ICLR,outstanding,abstract_sentences,2,7.0,7.0,7.0,6.5,7.5,6.0,8.0,7.0,interim
combined_400,ICLR,outstanding,algorithms_appendix,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,interim
combined_400,ICLR,outstanding,algorithms_main,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,interim
combined_400,ICLR,outstanding,appendix_main_text_calls,2,13.0,13.0,13.0,10.0,16.0,7.0,19.0,13.0,interim
combined_400,ICLR,outstanding,appendix_page_ratio,2,1.536364,1.536364,1.536364,1.168182,1.904545,0.8,2.272727,1.536363636,interim
combined_400,ICLR,outstanding,appendix_pages,2,16.5,16.5,16.5,12.25,20.75,8.0,25.0,16.5,interim
combined_400,ICLR,outstanding,claim_closure_rate,2,0.5625,0.5625,0.5625,0.46875,0.65625,0.375,0.75,0.5625,interim
combined_400,ICLR,outstanding,displayed_equations_appendix,2,24.0,24.0,24.0,15.5,32.5,7.0,41.0,24.0,interim
combined_400,ICLR,outstanding,displayed_equations_main,2,8.5,8.5,8.5,4.75,12.25,1.0,16.0,8.5,interim
combined_400,ICLR,outstanding,figures_appendix,2,2.5,2.5,2.5,1.25,3.75,0.0,5.0,2.5,interim
