dimension,value,papers,papers_present,paper_prevalence,conference_equal_prevalence,mean_count_per_paper,conference_equal_mean_count,median_count_per_paper
limitation_placement,abstract,250,7,0.028,0.028333333,0.028,0.028333333,0.0
limitation_placement,appendix,250,200,0.8,0.786666667,2.404,2.298333333,2.0
limitation_placement,conclusion_or_dedicated_limitations,250,153,0.612,0.618333333,1.548,1.57,1.0
limitation_placement,introduction,250,13,0.052,0.05,0.06,0.056666667,0.0
limitation_placement,main_body_other,250,218,0.872,0.873333333,2.92,2.883333333,3.0
paper_feature,has_ablation_inventory,250,244,0.976,0.975,0.976,0.975,1.0
paper_feature,has_adverse_presentation_strategy,250,250,1.0,1.0,1.0,1.0,1.0
paper_feature,has_algorithm_object,250,128,0.512,0.521666667,0.512,0.521666667,1.0
paper_feature,has_explicit_limitation,250,250,1.0,1.0,1.0,1.0,1.0
statistical_practice,bayesian_analysis,250,9,0.036,0.03,0.036,0.03,0.0
statistical_practice,bootstrap,250,11,0.044,0.04,0.044,0.04,0.0
statistical_practice,correlation,250,19,0.076,0.073333333,0.076,0.073333333,0.0
statistical_practice,descriptive_mean_median_or_aggregate,250,201,0.804,0.816666667,0.804,0.816666667,1.0
statistical_practice,dispersion_sd_or_se,250,58,0.232,0.223333333,0.232,0.223333333,0.0
statistical_practice,effect_size,250,1,0.004,0.003333333,0.004,0.003333333,0.0
statistical_practice,hypothesis_test_or_p_value,250,13,0.052,0.048333333,0.052,0.048333333,0.0
statistical_practice,intervals_or_error_bars,250,24,0.096,0.098333333,0.096,0.098333333,0.0
statistical_practice,multiple_comparison_control,250,4,0.016,0.015,0.016,0.015,0.0
statistical_practice,point_estimate_without_uncertainty,250,181,0.724,0.716666667,0.724,0.716666667,1.0
statistical_practice,regression_or_fitted_model,250,10,0.04,0.035,0.04,0.035,0.0
statistical_practice,repeated_runs_or_seeds,250,107,0.428,0.428333333,0.428,0.428333333,0.0
theory_kind,corollary,250,37,0.148,0.156666667,0.36,0.388333333,0.0
theory_kind,displayed_equation,250,114,0.456,0.461666667,1.924,1.97,0.0
theory_kind,lemma,250,61,0.244,0.256666667,1.344,1.46,0.0
theory_kind,numbered_equation,250,213,0.852,0.856666667,15.96,15.928333333,7.5
theory_kind,proof,250,98,0.392,0.393333333,1.852,1.803333333,0.0
theory_kind,proposition,250,56,0.224,0.236666667,0.792,0.85,0.0
theory_kind,theorem,250,89,0.356,0.368333333,1.604,1.673333333,0.0
theory_role,core_chain,250,224,0.896,0.9,9.524,9.511666667,7.0
theory_role,diagnostic,250,125,0.5,0.53,1.356,1.501666667,0.5
theory_role,explanation,250,181,0.724,0.741666667,5.7,5.801666667,2.0
theory_role,guarantee,250,114,0.456,0.465,7.256,7.258333333,0.0
visual_kind,algorithm,250,128,0.512,0.521666667,0.984,1.016666667,1.0
visual_kind,figure,250,246,0.984,0.983333333,12.192,12.391666667,10.0
visual_kind,table,250,237,0.948,0.946666667,9.236,9.063333333,8.0
visual_module,ablation,250,186,0.744,0.733333333,2.412,2.525,2.0
visual_module,abstract,250,25,0.1,0.096666667,0.1,0.096666667,0.0
visual_module,appendix,250,235,0.94,0.941666667,12.556,12.431666667,10.0
visual_module,experimental_design,250,44,0.176,0.178333333,0.292,0.295,0.0
visual_module,introduction,250,111,0.444,0.438333333,0.496,0.483333333,0.0
visual_module,limitations,250,8,0.032,0.028333333,0.048,0.041666667,0.0
visual_module,method,250,212,0.848,0.851666667,1.704,1.74,2.0
visual_module,other,250,8,0.032,0.031666667,0.048,0.045,0.0
visual_module,related_work,250,14,0.056,0.05,0.06,0.053333333,0.0
visual_module,results,250,244,0.976,0.975,4.336,4.396666667,4.0
visual_module,theory,250,56,0.224,0.225,0.36,0.363333333,0.0
